vol.	page	parva	adhy.	from v.	to v.	ipage	remark(s)
3	10	4	1	1	14	1a	
3	11	4	1	15	28	1b	
3	12	4	2	1	14	2a	
3	13	4	2	15	32	2b	
3	14	4	3	1	17	3a	
3	15	4	3	18	23	3b	
3	15	4	4	1	9	3b	
3	16	4	4	10	23	4a	
3	17	4	4	24	37	4b	
3	18	4	4	38	50	5a	
3	19	4	4	51	58	5b	
3	19	4	5	1	8	5b	
3	20	4	5	9	29	6a	
3	21	4	5	30	36	6b	
3	21	4	6	1	9	6b	
3	22	4	6	10	29	7a	
3	23	4	6	30	35	7b	
3	23	4	7	1	10	7b	
3	24	4	7	1	18	8a	
3	25	4	8	1	13	8b	
3	25	4	9	1	1	8b	
3	26	4	9	2	20	9a	
3	27	4	9	21	37	9b	
3	28	4	10	1	16	10a	
3	29	4	11	1	14	10b	
3	30	4	12	1	13	11a	
3	30	4	13	1	3	11a	
3	31	4	13	4	25	11b	
3	32	4	13	26	41	12a	
3	33	4	13	42	46	12b	
3	33	4	14	1	15	12b	
3	34	4	14	16	37	13a	
3	35	4	14	38	54	13b	
3	36	4	15	1	20	14a	
3	37	4	15	21	21	14b	
3	37	4	16	1	18	14b	
3	38	4	16	19	39	15a	
3	39	4	16	40	51	15b	
3	39	4	17	1	8	15b	
3	40	4	17	9	21	16a	
3	41	4	18	1	23	16b	
3	42	4	18	24	33	17a	
3	42	4	19	1	11	17a	
3	43	4	19	12	35	17b	
3	44	4	19	36	47	18a	
3	44	4	20	1	6	18a	
3	45	4	20	7	23	18b	
3	46	4	20	24	31	19a	
3	46	4	21	1	11	19a	
3	47	4	21	12	33	19b	
3	48	4	21	34	50	20a	
3	49	4	21	51	51	20b	
3	49	4	22	1	19	20b	
3	50	4	22	20	42	21a	
3	51	4	22	43	65	21b	
3	52	4	22	66	86	22a	
3	53	4	22	87	94	22b	
3	53	4	23	1	14	22b	
3	54	4	23	15	34	23a	
3	55	4	24	1	20	23b	
3	56	4	24	21	30	24a	
3	56	4	25	1	11	24a	
3	57	4	25	12	22	24b	
3	57	4	26	1	10	24b	
3	58	4	26	11	18	25a	
3	58	4	27	1	10	25a	
3	58	4	28	1	2	25a	
3	59	4	28	3	19	25b	
3	60	4	28	20	33	26a	
3	60	4	29	1	5	26a	
3	61	4	29	6	14	26b	
3	61	4	30	1	5	26b	
3	62	4	30	6	26	27a	
3	63	4	30	27	27	27b	
3	63	4	31	1	15	27b	
3	64	4	31	15	35	28a	
3	64	4	32	1	1	28a	
3	65	4	32	2	21	28b	
3	66	4	32	22	30	29a	
3	66	4	33	1	10	29a	
3	66x	4	33	11	29	29b	page missing
3	66y	4	33	30	50	30a	page missing
3	67	4	33	51	61	30b	
3	67	4	34	1	11	30b	
3	68	4	34	12	19	31a	
3	68	4	35	1	13	31a	
3	69	4	35	14	22	31b	
3	69	4	36	1	11	31b	
3	70	4	36	12	24	32a	
3	70	4	37	1	4	32a	
3	71	4	37	5	27	32b	
3	72	4	37	28	34	33a	
3	72	4	38	1	14	33a	
3	73	4	38	15	34	33b	
3	74	4	38	35	51	34a	
3	74	4	39	1	5	34a	
3	75	4	39	6	17	34b	
3	75	4	40	1	5	34b	
3	76	4	40	6	8	35a	
3	76	4	41	1	12	35a	
3	76	4	42	1	3	35a	
3	77	4	42	4	17	35b	
3	78	4	42	18	18	36a	
3	78	4	43	1	11	36a	
3	79	4	43	12	23	36b	
3	79	4	44	1	9	36b	
3	80	4	44	10	25	37a	
3	80	4	45	1	2	37a	
3	81	4	45	3	16	37b	
3	82	4	45	17	33	38a	
3	83	4	45	34	41	38b	
3	83	4	46	1	14	38b	
3	84	4	46	15	33	39a	
3	84	4	47	1	3	39a	
3	85	4	47	4	15	39b	
3	86	4	47	16	29	40a	
3	87	4	47	30	34	40b	
3	87	4	48	1	13	40b	
3	88	4	48	14	23	41a	
3	88	4	49	1	4	41a	
3	89	4	49	5	23	41b	
3	90	4	50	1	12	42a	
3	91	4	50	13	15	42b	
3	92	4	50	16	28	43a	
3	92	4	51	1	6	43a	
3	93	4	51	7	22	43b	
3	93	4	52	1	2	43b	
3	94	4	52	3	16	44a	
3	95	4	52	17	23	44b	
3	95	4	53	1	14	44b	
3	96	4	53	15	25	45a	
3	96	4	54	1	6	45a	
3	97	4	54	7	20	45b	
3	98	4	54	21	35	46a	
3	99	4	54	36	36	46b	
3	99	4	55	1	16	46b	
3	100	4	55	17	30	47a	
3	101	4	55	31	51	47b	
3	102	4	55	52	60	48a	
3	102	4	56	1	11	48a	
3	103	4	56	12	19	48b	
3	103	4	58	1	15	48b	
3	104	4	58	16	39	49a	
3	105	4	58	41	64	49b	v.40 missing
3	106	4	58	65	76	50a	adhy. 57 missed
3	106	4	59	1	11	50a	
3	107	4	59	2	21	50b	
3	107	4	60	1	13	50b	
3	108	4	60	14	27	51a	
3	108	4	61	1	9	51a	
3	109	4	61	10	31	51b	
3	110	4	61	32	46	52a	
3	110	4	62	1	7	52a	
3	111	4	62	8	22	52b	
3	111	4	63	1	5	52b	
3	112	4	63	6	14	53a	
3	112	4	64	1	14	53a	
3	113	4	64	15	38	53b	
3	114	4	64	39	49	54a	
3	114	4	65	1	10	54a	
3	115	4	65	1	18	54b	
3	115	4	66	1	9	54b	
3	116	4	66	10	25	55a	
3	117	4	66	26	30	55b	
3	117	4	67	1	13	55b	
3	118	4	67	14	23	56a	
3	118	4	68	1	9	56a	
3	119	4	68	10	28	56b	
3	120	4	68	29	48	57a	
3	121	4	68	49	68	57b	
3	122	4	68	69	76	58a	
3	122	4	69	1	12	58a	
3	123	4	69	13	19	58b	
3	123	4	70	1	15	58b	
3	124	4	70	16	28	59a	
3	124	4	71	1	11	59a	
3	125	4	71	12	32	59b	
3	126	4	71	33	35	59a	
3	126	4	72	1	14	59a	
3	127	4	---	---	---	---	parva ends
3	128	5	---	---	---	---	
3	129	5	---	---	---	---	
3	130	5	1	1	12	1a	
3	131	5	1	13	26	1b	
3	131	5	2	1	2	1b	
3	132	5	2	3	15	2a	
3	132	5	3	1	2	2a	
3	133	5	3	3	21	2b	
3	134	5	3	22	23	3a	
3	134	5	4	1	19	3a	
3	135	5	4	20	26	3b	
3	135	5	5	1	13	3b	
3	136	5	5	14	18	4a	
3	136	5	6	1	16	4a	
3	137	5	6	17	19	4b	
3	137	5	7	1	17	4b	
3	138	5	7	18	39	5a	
3	139	5	8	1	23	5b	
3	140	5	8	24	45	6a	
3	141	5	8	46	54	6b	
3	141	5	9	1	13	6b	
3	142	5	9	14	37	7a	
3	143	5	9	38	59	7b	
3	143	5	10	1	1	7b	
3	144	5	10	2	25	8a	
3	145	5	10	26	50	8b	
3	146	5	11	1	26	9a	
3	147	5	12	1	24	9b	
3	148	5	12	25	32	10a	
3	148	5	13	1	15	10a	
3	149	5	13	16	27	10b	
3	149	5	14	1	5	10b	
3	150	5	14	6	18	11a	
3	150	5	15	1	12	11a	
3	151	5	15	13	34	11b	
3	152	5	16	1	23	12a	
3	153	5	16	24	34	12b	
3	153	5	17	1	8	12b	
3	154	5	17	9	22	13a	
3	154	5	18	1	6	13a	
3	155	5	18	7	25	13b	
3	155	5	19	1	1	13b	
3	156	5	19	2	26	14a	
3	157	5	19	27	33	14b	
3	157	5	20	1	17	14b	
3	158	5	20	18	21	15a	
3	158	5	21	1	17	15a	
3	159	5	21	18	21	15b	
3	159	5	2	1	11	15b	
3	160	5	2	12	25	16a	
3	161	5	2	26	40	16b	
3	162	5	23	1	16	17a	
3	163	5	23	17	28	17b	
3	164	5	24	1	10	18a	
3	164	5	25	1	4	18a	
3	165	5	25	5	15	18b	
3	165	5	26	1	2	18b	
3	166	5	26	3	13	19a	
3	167	5	26	14	27	19b	
3	168	5	26	28	29	20a	
3	168	5	27	1	10	20a	
3	169	5	27	11	20	20b	
3	170	5	27	21	27	21a	
3	170	5	28	1	2	21a	
3	171	5	28	3	6	21b	
3	172	5	28	7	14	22a	
3	172	5	29	1	4	22a	
3	173	5	29	5	13	22b	
3	174	5	29	14	26	23a	
3	175	5	29	27	37	23b	
3	176	5	29	38	52	24a	
3	177	5	29	53	58	24b	
3	177	5	30	1	10	24b	
3	178	5	30	11	27	25a	
3	179	5	30	28	43	25b	
3	180	5	30	44	49	26a	
3	180	5	31	1	13	26a	
3	181	5	31	14	23	26b	
3	181	5	32	1	9	26b	
3	182	5	32	10	19	27a	
3	183	5	32	20	27	27b	
3	184	5	32	28	32	28a	
3	184	5	33	1	11	28a	
3	185	5	33	12	20	28b	
3	186	5	33	21	39	29a	
3	187	5	33	40	57	29b	
3	188	5	33	58	72	30a	
3	189	5	33	73	88	30b	
3	190	5	33	89	105	31a	
3	191	5	33	106	121	31b	
3	192	5	33	122	123	32a	
3	192	5	34	1	14	32a	
3	193	5	34	15	33	32b	
3	194	5	34	34	51	33a	
3	195	5	34	52	66	33b	
3	196	5	34	67	84	34a	
3	197	5	34	85	86	34b	
3	197	5	35	1	14	34b	
3	198	5	35	5	32	35a	
3	199	5	35	33	46	35b	
3	200	5	35	47	59	36a	
3	201	5	35	60	77	36b	
3	202	5	36	1	13	37a	
3	203	5	36	14	28	37b	
3	204	5	36	29	45	38a	
3	205	5	36	46	58	38b	
3	206	5	36	59	72	39a	
3	207	5	36	73	74	39b	
3	207	5	37	1	9	39b	
3	208	5	37	10	24	40a	
3	209	5	37	25	36	40b	
3	210	5	37	37	53	41a	
3	211	5	37	54	64	41b	
3	211	5	38	1	5	41b	
3	212	5	38	6	22	42a	
3	213	5	38	23	41	42b	
3	214	5	38	42	47	43a	
3	214	5	39	1	12	43a	
3	215	5	39	13	32	43b	
3	216	5	39	33	50	44a	
3	217	5	39	51	70	44b	
3	218	5	39	71	86	45a	
3	218	5	40	1	3	45a	
3	219	5	40	4	19	45b	
3	220	5	40	20	32	46a	
3	221	5	41	1	12	46b	
3	221	5	42	1	1	46b	
3	222	5	42	2	6	47a	
3	223	5	42	7	11	47b	
3	224	5	42	12	17	48a	
3	225	5	42	18	19	48b	
3	226	5	42	20	22	49a	
3	227	5	42	23	27	49b	
3	228	5	42	28	34	50a	
3	229	5	42	35	44	50b	
3	230	5	42	45	46	51a	
3	230	5	43	1	2	51a	
3	231	5	43	3	8	51b	
3	232	5	43	9	15	52a	
3	233	5	43	16	22	52b	
3	234	5	43	23	33	53a	
3	235	5	43	34	41	53b	
3	236	5	43	42	42	54a	
3	237	5	43	43	49	54b	
3	238	5	43	50	54	55a	
3	239	5	43	55	62	55b	
3	240	5	43	63	63	56a	
3	240	5	44	1	5	56a	
3	241	5	44	6	15	56b	
3	242	5	44	16	24	57a	
3	243	5	44	25	30	57b	
3	244	5	44	31	31	58a	
3	244	5	45	1	9	58a	
3	245	5	45	10	16	58b	
3	246	5	45	17	21	59a	
3	246	5	46	1	1	59a	
3	247	5	46	2	6	59b	
3	248	5	46	7	9	60a	
3	249	5	46	10	14	60b	
3	250	5	46	15	19	61a	
3	251	5	46	20	23	61b	
3	252	5	46	24	30	62a	
3	253	5	46	31	31	62a	
3	253	5	47	1	15	62b	
3	254	5	47	16	17	62b	
3	254	5	48	1	12	63a	
3	255	5	48	13	24	63b	
3	256	5	48	25	40	64a	
3	257	5	48	41	56	64b	
3	258	5	48	57	70	65a	
3	259	5	48	71	84	65b	
3	260	5	48	85	99	66a	
3	261	5	48	100	109	66a	
3	261	5	49	1	8	66b	
3	262	5	49	9	31	67a	
3	263	5	49	32	48	67b	
3	263	5	50	1	7	67b	
3	264	5	50	8	31	68a	
3	265	5	50	32	50	68b	
3	265	5	51	1	4	68b	
3	266	5	51	5	27	69a	
3	267	5	51	27	50	69b	
3	268	5	51	51	61	70a	
3	268	5	52	1	8	70a	
3	269	5	52	9	20	70b	
3	269	5	53	1	8	70b	
3	270	5	53	9	16	71a	
3	270	5	54	1	12	71a	
3	271	5	54	13	22	71b	
3	271	5	55	1	13	71b	
3	272	5	55	14	34	72a	
3	273	5	55	35	58	72b	
3	274	5	55	59	69	73a	
3	274	5	56	1	9	73a	
3	275	5	56	10	17	73b	
3	275	5	57	1	9	73b	
3	276	5	57	10	33	74a	
3	277	5	57	34	57	74b	
3	278	5	57	58	62	75a	
3	278	5	58	1	15	75a	
3	279	5	58	16	29	75b	
3	279	5	59	1	7	75b	
3	280	5	59	8	29	76a	
3	281	5	59	30	31	76b	
3	281	5	60	1	19	76b	
3	282	5	60	20	23	77a	
3	282	5	61	1	17	77a	
3	283	5	61	18	29	77b	
3	283	5	62	1	6	77b	
3	284	5	62	7	18	78a	
3	284	5	63	1	4	78a	
3	285	5	63	5	20	78b	
3	286	5	63	21	24	79a	
3	286	5	64	1	13	79a	
3	287	5	64	14	27	79b	
3	287	5	65	1	6	79b	
3	288	5	65	7	16	80a	
3	288	5	66	1	12	80a	
3	289	5	66	13	15	80b	
3	289	5	67	1	10	80b	
3	289	5	68	1	1	80b	
3	290	5	68	2	15	81a	
3	290	5	69	1	2	81a	
3	291	5	69	3	16	81b	
3	292	5	69	17	21	82a	
3	292	5	70	1	6	82a	
3	293	5	70	7	15	82b	
3	293	5	71	1	3	82b	
3	294	5	71	4	7	83a	
3	294	5	72	1	13	83a	
3	295	5	72	14	33	83b	
3	296	5	72	34	51	84a	
3	297	5	72	52	68	84b	
3	298	5	72	69	88	85a	
3	299	5	72	89	93	85b	
3	299	5	73	1	13	85b	
3	300	5	73	14	35	86a	
3	301	5	73	36	42	86b	
3	301	5	74	1	11	86b	
3	302	5	74	12	23	87a	
3	302	5	75	1	9	87a	
3	303	5	75	10	23	87b	
3	303	5	76	1	7	87b	
3	304	5	76	8	18	88a	
3	304	5	77	1	7	88a	
3	305	5	77	8	20	88b	
3	306	5	78	1	16	89a	
3	307	5	78	17	19	89b	
3	307	5	79	1	15	89b	
3	308	5	79	16	21	90a	
3	308	5	80	1	10	90a	
3	309	5	80	11	18	90b	
3	309	5	81	1	9	90b	
3	309	5	82	1	3	90b	
3	310	5	82	4	27	91a	
3	311	5	82	28	49	91b	
3	311	5	83	1	1	91b	
3	312	5	83	2	23	92a	
3	313	5	83	24	47	92b	
3	314	5	83	48	71	93a	
3	315	5	83	72	72	93b	
3	315	5	84	1	21	93b	
3	316	5	84	22	29	94a	
3	316	5	85	1	16	94a	
3	317	5	85	17	18	94b	
3	317	5	86	1	20	94b	
3	318	5	86	21	21	95a	
3	318	5	87	1	17	95a	
3	318	5	88	1	2	95a	
3	319	5	88	3	23	95b	
3	320	5	89	1	25	96a	
3	321	5	89	26	27	96b	
3	321	5	90	1	20	96b	
3	322	5	90	21	43	97a	
3	323	5	90	44	63	97b	
3	324	5	90	64	85	98a	
3	325	5	90	86	105	98b	
3	326	5	91	1	20	99a	
3	327	5	91	21	41	99b	
3	328	5	92	1	23	100a	
3	329	5	92	24	30	100b	
3	329	5	93	1	15	100b	
3	330	5	93	16	22	101a	
3	330	5	94	1	15	101a	
3	331	5	94	16	40	101b	
3	332	5	94	41	54	102a	
3	332	5	95	1	7	102a	
3	333	5	95	8	30	102b	
3	334	5	95	31	53	103a	
3	335	5	95	54	63	103b	
3	335	5	96	1	12	103b	
3	336	5	96	13	36	104a	
3	337	5	96	37	52	104b	
3	337	5	97	1	3	104b	
3	338	5	97	4	21	105a	
3	338	5	98	1	4	105a	
3	339	5	98	5	22	105b	
3	340	5	98	23	25	106a	
3	340	5	99	1	11	106a	
3	341	5	99	12	20	106b	
3	341	5	100	1	13	106b	
3	342	5	100	14	19	107a	
3	342	5	101	1	15	107a	
3	343	5	101	16	16	107b	
3	343	5	102	1	15	107b	
3	343	5	103	1	2	107b	
3	344	5	103	3	26	108a	
3	345	5	104	1	25	108b	
3	346	5	104	26	30	109a	
3	346	5	105	1	19	109a	
3	347	5	105	20	40	109b	
3	347	5	106	1	2	109b	
3	348	5	106	3	21	110a	
3	349	5	106	22	27	110b	
3	349	5	107	1	11	110b	
3	350	5	107	12	19	111a	
3	350	5	108	1	8	111a	
3	351	5	108	9	18	111b	
3	351	5	109	1	6	111b	
3	352	5	109	7	21	112a	
3	353	5	110	1	17	112b	
3	354	5	110	18	20	113a	
3	354	5	111	1	15	113a	
3	355	5	111	16	28	113b	
3	355	5	112	1	4	113b	
3	356	5	112	5	22	114a	
3	356	5	113	1	2	114a	
3	357	5	113	3	23	114b	
3	358	5	114	1	18	115a	
3	359	5	114	19	20	115b	
3	359	5	115	1	21	115b	
3	360	5	116	1	21	116a	
3	361	5	116	22	22	116b	
3	361	5	117	1	21	116b	
3	362	5	118	1	21	117a	
3	362	5	119	1	3	117a	
3	363	5	119	4	24	117b	
3	363	5	120	1	2	117b	
3	364	5	120	3	22	118a	
3	364	5	121	1	3	118a	
3	365	5	121	4	26	118b	
3	366	5	121	27	28	119a	
3	366	5	122	1	18	119a	
3	367	5	123	1	21	119b	
3	368	5	123	22	23	120a	
3	368	5	124	1	20	120a	
3	369	5	124	21	43	120b	
3	370	5	124	44	62	121a	
3	370	5	125	1	4	121a	
3	371	5	125	5	26	121b	
3	372	5	125	27	27	122a	
3	372	5	126	1	17	122a	
3	373	5	126	18	18	122b	
3	373	5	127	1	21	122b	
3	374	5	127	22	25	123a	
3	374	5	128	1	18	123a	
3	375	5	128	19	44	123b	
3	376	5	128	45	50	124a	
3	376	5	129	1	15	124a	
3	377	5	129	16	37	124b	
3	378	5	129	38	54	125a	
3	378	5	130	1	6	125a	
3	379	5	130	7	30	125b	
3	380	5	130	31	53	126a	
3	381	5	131	1	26	126b	
3	382	5	131	27	41	127a	
3	382	5	132	1	6	127a	
3	383	5	132	7	27	127b	
3	384	5	132	28	34	128a	
3	384	5	133	1	12	128a	
3	385	5	133	13	27	128b	
3	386	5	133	28	45	129a	
3	387	5	134	1	21	129b	
3	388	5	134	22	38	130a	
3	389	5	134	39	41	130b	
3	389	5	135	1	14	130b	
3	390	5	135	15	28	131a	
3	391	5	135	29	40	131b	
3	391	5	136	1	3	131b	
3	392	5	136	4	22	132a	
3	393	5	137	1	24	132b	
3	394	5	137	25	32	133a	
3	394	5	138	1	15	133a	
3	395	5	138	16	27	133b	
3	395	5	139	1	9	133b	
3	396	5	139	10	22	134a	
3	396	5	140	1	8	134a	
3	397	5	140	9	29	134b	
3	397	5	141	1	2	134b	
3	398	5	141	3	23	135a	
3	399	5	141	24	40	135b	
3	400	5	141	41	57	136a	
3	400	5	142	1	1	136a	
3	401	5	142	2	20	136b	
3	402	5	143	1	18	137a	
3	403	5	143	19	39	137b	
3	404	5	143	40	52	138a	
3	404	5	144	1	6	138a	
3	405	5	144	7	26	138b	
3	406	5	144	27	31	139a	
3	406	5	145	1	12	139a	
3	406	5	146	1	2	139a	
3	407	5	146	3	23	139b	
3	408	5	146	24	27	140a	
3	408	5	147	1	16	140a	
3	409	5	147	17	39	140b	
3	410	5	147	40	43	141a	
3	410	5	148	1	17	141a	
3	411	5	148	18	36	141b	
3	411	5	149	1	1	141b	
3	412	5	149	2	26	142a	
3	413	5	149	27	36	142b	
3	413	5	150	1	9	142b	
3	414	5	150	10	20	143a	
3	414	5	151	1	11	143a	
3	415	5	151	12	36	143b	
3	416	5	151	37	57	144a	
3	417	5	151	58	71	144b	
3	417	5	152	1	5	144b	
3	418	5	152	6	18	145a	
3	418	5	153	1	9	145a	
3	419	5	153	10	27	145b	
3	419	5	154	1	3	145b	
3	420	5	154	4	24	146a	
3	421	5	154	25	27	146b	
3	421	5	155	1	7	146b	
3	422	5	155	8	22	147a	
3	423	5	155	23	35	147b	
3	423	5	156	1	2	147b	
3	424	5	156	3	26	148a	
3	425	5	156	27	36	148b	
3	425	5	157	1	14	148b	
3	426	5	157	15	35	149a	
3	426	5	158	1	1	149a	
3	427	5	158	2	26	149b	
3	428	5	158	27	40	150a	
3	428	5	159	1	8	150a	
3	429	5	159	9	15	150b	
3	429	5	160	1	11	150b	
3	430	5	160	12	35	151a	
3	431	5	160	36	57	151b	
3	432	5	160	58	76	152a	
3	433	5	160	77	97	152b	
3	434	5	160	98	116	153a	
3	435	5	160	117	125	153b	
3	435	5	161	1	10	153b	
3	436	5	161	11	34	154a	
3	437	5	161	35	43	154b	
3	437	5	162	1	14	154b	
3	438	5	162	15	34	155a	
3	439	5	162	35	56	155b	
3	440	5	162	57	63	156a	
3	440	5	163	1	11	156a	
3	441	5	163	12	31	156b	
3	442	5	163	32	53	157a	
3	443	5	163	54	57	157b	
3	443	5	164	1	12	157b	
3	443	5	165	1	5	157b	
3	444	5	165	6	28	158a	
3	445	5	165	29	33	158b	
3	445	5	166	1	17	158b	
3	446	5	166	18	22	159a	
3	446	5	167	1	18	159a	
3	447	5	167	19	38	159b	
3	447	5	168	1	3	159b	
3	448	5	168	4	26	160a	
3	449	5	168	27	42	160b	
3	449	5	169	1	5	160b	
3	450	5	169	6	28	161a	
3	451	5	170	1	14	161b	
3	451	5	171	1	8	161b	
3	452	5	171	9	27	162a	
3	452	5	172	1	4	162a	
3	453	5	172	5	21	162b	
3	453	5	173	1	4	162b	
3	454	5	173	5	23	163a	
3	454	5	174	1	4	163a	
3	455	5	174	5	10	163b	
3	455	5	175	1	18	163b	
3	456	5	175	19	40	164a	
3	457	5	175	41	45	164b	
3	457	5	176	1	15	164b	
3	458	5	176	16	40	165a	
3	459	5	176	41	59	165b	
3	459	5	177	1	1	165b	
3	460	5	177	2	24	166a	
3	461	5	177	25	42	166b	
3	461	5	178	1	2	166b	
3	462	5	178	3	26	167a	
3	463	5	178	27	52	167b	
3	464	5	178	53	72	168a	
3	465	5	178	73	95	168b	
3	466	5	179	1	24	169a	
3	467	5	179	25	39	169b	
3	467	5	180	1	8	169b	
3	468	5	180	9	34	170a	
3	469	5	180	35	38	170b	
3	469	5	181	1	15	170b	
3	470	5	181	16	16	171a	
3	470	5	182	1	21	171a	
3	471	5	182	22	30	171b	
3	471	5	183	1	10	171b	
3	472	5	183	11	19	172a	
3	472	5	184	1	14	172a	
3	473	5	184	15	23	172b	
3	473	5	185	1	14	172b	
