vol.	page	parva	adhy.	from v.	to v.	ipage	remark(s)
3	474	5	185	15	37	173a	
3	475	5	186	1	26	173b	
3	476	5	186	27	41	174a	
3	476	5	187	1	8	174a	
3	477	5	187	9	19	174b	
3	477	5	188	1	10	174b	
3	478	5	188	11	20	175a	
3	478	5	189	1	11	175a	
3	479	5	189	12	23	175b	
3	479	5	190	1	1	175b	
3	480	5	190	11	22	176a	
3	480	5	191	1	6	176a	
3	481	5	191	7	29	176b	
3	482	5	191	30	30	177a	
3	482	5	192	1	22	177a	
3	483	5	192	23	43	177b	
3	484	5	192	44	68	178a	
3	485	5	192	69	70	178b	
3	485	5	193	1	21	178b	
3	486	5	193	22	22	179a	
3	486	5	194	1	21	179a	
3	487	5	194	22	22	179b	
3	487	5	195	1	19	179b	
3	487	5	196	1	1	179b	
3	488	5	196	2	25	180a	
3	489	5	196	26	35	180b	
3	490	5	---	---	---	---	
3	491	5	---	---	---	---	
3	492	5	---	---	---	---	
3	493	5	---	---	---	---	parva ends
3	494	6	---	---	---	---	
3	495	6	---	---	---	---	
3	496	6	---	---	---	---	
3	497	6	---	---	---	---	
3	498	6	1	1	15	1a	
3	499	6	1	16	34	1b	
3	499	6	2	1	2	1b	
3	500	6	2	3	22	2a	
3	501	6	2	23	33	2b	
3	501	6	3	1	6	2b	
3	502	6	3	7	19	3a	
3	503	6	3	20	30	3b	
3	504	6	3	31	33	4a	
3	505	6	3	34	50	4b	
3	506	6	3	51	67	5a	
3	507	6	3	68	84	5b	
3	508	6	3	85	85	6a	
3	508	6	4	1	13	6a	
3	509	6	4	14	21	6b	
3	509	6	5	1	2	6b	
3	510	6	5	3	10	7a	
3	511	6	5	11	13	7b	
3	512	6	5	14	18	8a	
3	512	6	6	1	2	8a	
3	513	6	6	3	6	8b	
3	514	6	6	7	23	9a	
3	515	6	6	24	39	9b	
3	516	6	6	40	54	10a	
3	517	6	6	55	56	10b	
3	517	6	7	1	3	10b	
3	518	6	7	4	25	11a	
3	519	6	7	26	32	11b	
3	519	6	8	1	10	11b	
3	520	6	8	11	20	12a	
3	521	6	8	21	22	12b	
3	521	6	9	1	18	12b	
3	522	6	9	19	42	13a	
3	523	6	9	43	67	13b	
3	524	6	9	68	76	14a	
3	524	6	10	1	10	14a	
3	525	6	10	11	15	14b	
3	525	6	11	1	10	14b	
3	526	6	11	11	32	15a	
3	527	6	11	33	40	15b	
3	527	6	12	1	16	15b	
3	528	6	12	17	36	16a	
3	529	6	12	37	52	16b	
3	529	6	13	1	4	16b	
3	530	6	13	5	13	17a	
3	530	6	14	1	14	17a	
3	531	6	14	15	38	17b	
3	532	6	14	39	62	18a	
3	533	6	14	63	80	18b	
3	533	6	15	1	5	18b	
3	534	6	15	6	20	19a	
3	534	6	16	1	8	19a	
3	535	6	16	9	27	19b	
3	535	6	17	1	1	19b	
3	536	6	17	2	3	20a	
3	537	6	17	4	26	20b	
3	538	6	17	27	39	21a	
3	538	6	18	1	9	21a	
3	539	6	18	10	18	21b	
3	539	6	19	1	12	21b	
3	540	6	19	13	35	22a	
3	541	6	19	36	45	22b	
3	541	6	20	1	8	22b	
3	542	6	20	9	20	23a	
3	542	6	21	1	9	23a	
3	543	6	21	10	17	23b	
3	543	6	22	1	12	23b	
3	544	6	22	13	16	24a	
3	544	6	23	1	8	24a	
3	545	6	23	9	17	24b	
3	546	6	23	18	28	25a	
3	546	6	24	1	7	25a	
3	547	6	25	1	9	25b	
3	548	6	25	10	24	26a	
3	549	6	25	25	38	26b	
3	550	6	25	39	47	27a	
3	551	6	26	1	6	27b	
3	552	6	26	7	11	28a	
3	553	6	26	12	13	28b	
3	554	6	26	14	15	29a	
3	555	6	26	16	16	29b	
3	556	6	26	17	18	30a	
3	557	6	26	19	19	30b	
3	558	6	26	20	20	31a	
3	559	6	26	21	23	31b	
3	560	6	26	24	26	32a	
3	561	6	26	27	28	32b	
3	562	6	26	29	29	33a	
3	563	6	26	30	38	33b	
3	564	6	26	39	40	34a	
3	565	6	26	41	44	34b	
3	566	6	26	45	48	35a	
3	567	6	26	49	54	35b	
3	568	6	26	55	59	36a	
3	569	6	26	60	64	36b	
3	570	6	26	65	69	37a	
3	571	6	26	70	71	37b	
3	572	6	26	72	72	38a	
3	572	6	27	1	2	38a	
3	573	6	27	3	3	38b	
3	574	6	27	4	6	39a	
3	575	6	27	7	13	39b	
3	576	6	27	14	17	40a	
3	577	6	27	18	25	40b	
3	578	6	27	26	28	41a	
3	579	6	27	29	34	41b	
3	580	6	27	35	39	42a	
3	581	6	27	40	42	42b	
3	582	6	27	43	43	43a	
3	582	6	28	1	5	43a	
3	583	6	28	6	6	43b	
3	584	6	28	7	12	44a	
3	585	6	28	13	17	44b	
3	586	6	28	18a	18a	45a	
3	587	6	28	18b	18b	45b	
3	588	6	28	19	22	46a	
3	589	6	28	23	25	46b	
3	590	6	28	26	29	47a	
3	591	6	28	30	36	47b	
3	592	6	28	37	42	48a	
3	593	6	29	1	3	48b	
3	594	6	29	4	6	49a	
3	595	6	29	7	11	49b	
3	596	6	29	12	15	50a	
3	597	6	29	16	20	50b	
3	598	6	29	21	26	51a	
3	599	6	29	27a	27a	51b	
3	600	6	29	27b	27b	52a	
3	601	6	29	28	28	52b	
3	602	6	29	29	29	53a	
3	602	6	30	1	4	53a	
3	603	6	30	5	12	53b	
3	604	6	30	13	17	54a	
3	605	6	30	18	23	54b	
3	606	6	30	24	28	55a	
3	607	6	30	29	30	55b	
3	608	6	30	31	39	56a	
3	609	6	30	40	47	56b	
3	610	6	31	1	4	57a	
3	611	6	31	5	10	57b	
3	612	6	31	11	14	58a	
3	613	6	31	15	20	58b	
3	614	6	31	21	27	59a	
3	615	6	31	28	30	59b	
3	615	6	32	1	2	59b	
3	616	6	32	3	4	60a	
3	617	6	32	5	7	60b	
3	618	6	32	8	8	61a	
3	619	6	32	9	10	61b	
