vol.	page	parva	adhy.	from v.	to v.	ipage	
6	173	13	47	48	61	81b	
6	173	13	48	1	3	81b	
6	174	13	48	4	13	82a	
6	175	13	48	14	28	82b	
6	176	13	48	29	40	83a	
6	177	13	48	41	50	83b	
6	177	13	49	1	1	83b	
6	178	13	49	2	15	84a	
6	179	13	49	16	28	84b	
6	179	13	50	1	1	84b	
6	180	13	50	2	25	85a	
6	181	13	50	26	27	85b	
6	181	13	51	1	17	85b	
6	182	13	51	18	41	86a	
6	183	13	51	42	48	86b	
6	183	13	52	1	13	86b	
6	184	13	52	14	38	87a	
6	185	13	52	39	39	87b	
6	185	13	53	1	19	87b	
6	186	13	53	20	43	88a	
6	187	13	53	44	67	88b	
6	188	13	53	68	69	89a	
6	188	13	54	1	18	89a	
6	189	13	54	19	40	89b	
6	190	13	55	1	24	90a	
6	191	13	55	25	37	90b	
6	191	13	56	1	8	90b	
6	192	13	56	9	21	91a	
6	192	13	57	1	7	91a	
6	193	13	57	8	28	91b	
6	194	13	57	29	44	92a	
6	194	13	58	1	1	92a	
6	195	13	58	2	23	92b	
6	196	13	58	24	33	93a	
6	196	13	59	1	10	93a	
6	197	13	59	11	28	93b	
6	198	13	59	29	41	94a	
6	198	13	60	1	7	94a	
6	199	13	60	8	20	94b	
6	199	13	61	1	6	94b	
6	200	13	61	7	25	95a	
6	201	13	61	26	38	95b	
6	201	13	62	1	9	95b	
6	202	13	62	10	29	96a	
6	203	13	62	30	51	96b	
6	204	13	62	52	76	97a	
6	205	13	62	77	96	97b	
6	205	13	63	1	2	97b	
6	206	13	63	3	27	98a	
6	207	13	63	28	51	98b	
6	208	13	63	52	52	99a	
6	208	13	64	1	20	99a	
6	209	13	64	21	36	99b	
6	209	13	65	1	2	99b	
6	210	13	65	3	19	100a	
6	210	13	66	1	5	100a	
6	211	13	66	6	28	100b	
6	212	13	66	29	52	101a	
6	213	13	66	53	65	101b	
6	213	13	67	1	10	101b	
6	214	13	67	11	19	102a	
6	214	13	68	1	12	102a	
6	215	13	68	13	33	102b	
6	216	13	68	34	34	103a	
6	216	13	69	1	18	103a	
6	217	13	69	19	22	103b	
6	217	13	70	1	16	103b	
6	218	13	70	17	33	104a	
6	218	13	71	1	4	104a	
6	219	13	71	5	25	104b	
6	220	13	71	26	43	105a	
6	221	13	71	44	57	105b	
6	222	13	72	1	12	106a	
6	222	13	73	1	8	106a	
6	223	13	73	9	29	106b	
6	224	13	73	30	49	107a	
6	225	13	73	50	51	107b	
6	225	13	74	1	16	107b	
6	225	13	75	1	2	107b	
6	226	13	75	3	25	108a	
6	227	13	75	26	41	108b	
6	227	13	76	1	4	108b	
6	228	13	76	5	15	109a	
6	229	13	76	16	30	109b	
6	230	13	76	31	31	110a	
6	230	13	77	1	18	110a	
6	231	13	77	19	35	110b	
6	231	13	78	1	3	110b	
6	232	13	78	4	25	111a	
6	233	13	79	1	24	111b	
6	234	13	79	25	27	112a	
6	234	13	80	1	16	112a	
6	235	13	80	17	17	112b	
6	235	13	81	1	20	112b	
6	236	13	81	21	44	113a	
6	237	13	81	45	47	113b	
6	237	13	82	1	18	113b	
6	238	13	82	19	27	114a	
6	238	13	83	1	13	114a	
6	239	13	83	14	36	114b	
6	240	13	83	37	52	115a	
6	240	13	84	1	3	115a	
6	241	13	84	4	29	115b	
6	242	13	84	30	53	116a	
6	243	13	84	54	79	116b	
6	244	13	84	80	82	117a	
6	244	13	85	1	17	117a	
6	245	13	85	18	40	117b	
6	246	13	85	41	64	118a	
6	247	13	85	65	87	118b	
6	248	13	85	88	106	119a	
6	249	13	85	107	128	119b	
6	250	13	85	129	149	120a	
6	251	13	85	150	167	120b	
6	252	13	85	168	168	121a	
6	252	13	86	1	19	121a	
6	253	13	86	20	35	121b	
6	253	13	87	1	5	121b	
6	254	13	87	6	19	122a	
6	254	13	88	1	5	122a	
6	255	13	88	6	15	122b	
6	255	13	89	1	10	122b	
6	256	13	89	11	15	123a	
6	256	13	90	1	13	123a	
6	257	13	90	14	35	123b	
6	258	13	90	36	53	124a	
6	259	13	90	54	54	124b	
6	259	13	91	1	18	124b	
6	260	13	91	19	39	125a	
6	261	13	91	40	45	125b	
6	261	13	92	1	14	125b	
6	262	13	92	15	23	126a	
6	262	13	93	1	7	126a	
6	263	13	93	8	29	126b	
6	264	13	93	30	48	127a	
6	265	13	93	49	68	127b	
6	266	13	93	69	85	128a	
6	267	13	93	86	89	128b	
6	268	13	93	90	93	129a	
6	269	13	93	94	100	129b	
6	270	13	93	101	120	130a	
6	271	13	93	121	139	130b	
6	272	13	93	140	149	131a	
6	272	13	94	1	9	131a	
6	273	13	94	10	27	131b	
6	274	13	94	28	45	132a	
6	275	13	94	46	54	132b	
6	275	13	95	1	11	132b	
6	276	13	95	12	28	133a	
6	276	13	96	1	4	133a	
6	277	13	96	5	22	133b	
6	277	13	97	1	1	133b	
6	278	13	97	2	24	134a	
6	279	13	97	25	25	134b	
6	279	13	98	1	21	134b	
6	280	13	98	22	43	135a	
6	281	13	98	44	65	135b	
6	282	13	98	66	66	136a	
6	282	13	99	1	21	136a	
6	283	13	99	22	29	136b	
6	283	13	100	1	14	136b	
6	284	13	100	15	40	137a	
6	285	13	100	41	41	137b	
6	285	13	101	1	15	137b	
6	286	13	101	16	29	138a	
6	286	13	102	1	5	138a	
6	287	13	102	6	22	138b	
6	288	13	102	23	38	139a	
6	289	13	102	39	56	139b	
6	290	13	102	57	63	140a	
6	290	13	103	1	11	140a	
6	291	13	103	12	31	140b	
6	292	13	103	32	45	141a	
6	292	13	104	1	3	141a	
6	293	13	104	4	27	141b	
6	294	13	104	28	49	142a	
6	295	13	104	50	72	142b	
6	296	13	104	73	94	143a	
6	297	13	104	95	113	143b	
6	298	13	104	114	130	144a	
6	299	13	104	131	153	144b	
6	300	13	104	154	157	145a	
6	300	13	105	1	16	145a	
6	301	13	105	17	20	145b	
6	301	13	106	1	17	145b	
6	302	13	106	18	41	146a	
6	303	13	106	42	65	146b	
6	304	13	106	66	72	147a	
6	304	13	107	1	14	147a	
6	305	13	107	15	38	147b	
6	306	13	107	39	63	148a	
6	307	13	107	64	89	148b	
6	308	13	107	90	115	149a	
6	309	13	107	116	141	149b	
6	310	13	107	142	144	150a	
6	310	13	108	1	19	150a	
6	311	13	108	20	21	150b	
6	311	13	109	1	17	150b	
6	311	13	110	1	1	150b	
6	312	13	110	2	10	151a	
6	312	13	111	1	8	151a	
6	313	13	111	9	27	151b	
6	314	13	111	28	44	152a	
6	315	13	111	45	66	152b	
6	316	13	111	67	91	153a	
6	317	13	111	92	115	153b	
6	318	13	111	116	133	154a	
6	318	13	112	1	3	154a	
6	319	13	112	4	28	154b	
6	320	13	112	29	31	155a	
6	320	13	113	1	11	155a	
6	320	13	114	1	2	155a	
6	321	13	114	3	19	155b	
6	321	13	115	1	2	155b	
6	322	13	115	3	26	156a	
6	323	13	115	27	50	156b	
6	324	13	115	51	73	157a	
6	325	13	115	74	85	157b	
6	325	13	116	1	10	157b	
6	326	13	116	11	27	158a	
6	327	13	116	28	42	158b	
6	327	13	117	1	7	158b	
6	328	13	117	8	28	159a	
6	329	13	117	29	29	159b	
6	329	13	118	1	17	159b	
6	330	13	118	18	24	160a	
6	330	13	119	1	13	160a	
6	331	13	119	14	15	160b	
6	331	13	120	1	12	160b	
6	332	13	120	13	27	161a	
6	332	13	121	1	3	161a	
6	333	13	121	4	17	161b	
6	333	13	122	1	1	161b	
6	334	13	122	2	20	162a	
6	334	13	123	1	2	162a	
6	335	13	123	3	22	162b	
6	335	13	124	1	2	162b	
6	336	13	124	3	27	163a	
6	337	13	124	28	39	163b	
6	337	13	125	1	8	163b	
6	338	13	125	9	30	164a	
6	339	13	125	31	53	164b	
6	340	13	125	54	78	165a	
6	341	13	125	79	84	165b	
6	341	13	126	1	16	165b	
6	342	13	126	17	39	166a	
6	343	13	126	40	50	166b	
6	343	13	127	1	8	166b	
6	344	13	127	9	19	167a	
6	344	13	128	1	8	167a	
6	345	13	128	9	11	167b	
6	345	13	129	1	15	167b	
6	345	13	130	1	1	167b	
6	346	13	130	2	25	168a	
6	347	13	130	26	40	168b	
6	347	13	131	1	7	168b	
6	348	13	131	8	12	169a	
