vol.	page	parva	adhy.	from v.	to v.	ipage	remark(s)
2	12	3	1	1	14	1a	
2	13	3	1	15	28	1b	
2	14	3	1	29	45	2a	
2	15	3	1	46	46	2b	
2	15	3	2	1	15	2b	
2	16	3	2	16	26	3a	
2	17	3	2	27	38	3b	
2	18	3	2	39	55	4a	
2	19	3	2	56	68	4b	
2	20	3	2	69	82	5a	
2	21	3	2	83	84	5b	
2	21	3	3	1	13	5b	
2	22	3	3	14	24	6a	
2	23	3	3	25	36	6b	
2	24	3	3	37	54	7a	
2	25	3	3	55	71	7b	
2	26	3	3	72	86	8a	
2	27	3	4	1	14	8b	
2	28	3	4	15	22	9a	
2	28	3	5	1	9	9a	
2	29	3	5	10	22	9b	
2	29	3	6	1	1	9b	
2	30	3	6	2	21	10a	
2	31	3	6	22	24	10b	
2	31	3	7	1	13	10b	
2	32	3	7	14	24	11a	
2	32	3	8	1	8	11a	
2	33	3	8	9	12	11b	
2	33	3	9	1	12	11b	
2	34	3	9	13	22	12a	
2	34	3	10	1	8	12a	
2	35	3	10	9	30	12b	
2	36	3	10	31	39	13a	
2	36	3	11	1	9	13a	
2	37	3	11	10	32	13b	
2	38	3	11	33	54	14a	
2	39	3	11	55	75	14b	
2	40	3	12	1	15	15a	
2	41	3	12	16	30	15b	
2	42	3	12	31	47	16a	
2	43	3	12	48	58	16b	
2	44	3	12	59	77	17a	
2	45	3	12	78	99	17b	
2	46	3	12	100	123	18a	
2	47	3	12	124	136	18b	
2	47	3	13	1	1	18b	
2	48	3	13	2	17	19a	
2	48	3	14	1	1	19a	
2	49	3	14	2	21	19b	
2	50	3	14	22	22	20a	
2	50	3	15	1	9	20a	
2	51	3	15	10	23	20b	
2	51	3	16	1	4	20b	
2	52	3	16	5	27	21a	
2	53	3	16	28	33	21b	
2	53	3	17	1	13	21b	
2	54	3	17	14	26	22a	
2	54	3	18	1	10	22a	
2	55	3	18	11	33	22b	
2	56	3	19	1	23	23a	
2	57	3	19	24	27	23a	
2	57	3	20	1	17	23b	
2	58	3	20	18	37	24a	
2	59	3	20	38	41	24b	
2	59	3	21	1	16	24b	
2	60	3	21	17	30	25a	
2	60	3	22	1	7	25a	
2	61	3	22	8	29	25b	
2	62	3	22	30	51	26a	
2	63	3	22	52	54	26b	
2	63	3	23	1	10	26b	
2	64	3	23	11	16	27a	
2	64	3	24	1	11	27a	
