(0,0,0)	148
(1,1,4)	2
(1,1,14)	1
(1,1,15)	1
(1,1,23)	1
(1,2,19)	1
(1,2,27)	1
(1,3,6)	1
(1,4,4)	1
(1,4,11)	1
(1,4,18)	1
(1,4,25)	1
(1,4,27)	1
(1,4,30)	2
(1,4,32)	1
(1,5,8)	2
(1,5,11)	2
(1,5,13)	1
(1,5,14)	1
(1,5,15)	1
(1,5,18)	1
(1,5,28)	1
(1,5,40)	2
(1,6,4)	1
(1,6,7)	1
(1,6,18)	1
(1,6,22)	2
(1,6,28)	1
(1,6,32)	1
(1,7,12)	1
(1,7,19)	1
(1,7,42)	2
(1,8,6)	1
(1,8,9)	1
(1,8,21)	1
(1,9,16)	1
(1,9,27)	1
(1,9,36)	1
(1,9,37)	1
(1,9,39)	1
(1,9,41)	1
(1,10,2)	1
(1,10,22)	1
(1,10,27)	1
(1,10,29)	1
(1,11,37)	1
(1,12,14)	1
(1,12,15)	1
(1,12,16)	1
(1,12,31)	1
(1,13,7)	1
(1,13,24)	2
(1,13,31)	1
(1,13,42)	1
(1,14,29)	1
(1,14,43)	1
(1,15,1)	1
(1,15,3)	1
(1,15,18)	1
(1,15,28)	1
(1,15,31)	2
(1,16,1)	1
(1,16,19)	1
(1,16,34)	1
(1,17,3)	2
(1,17,16)	1
(1,17,26)	1
(1,18,12)	1
(1,18,34)	1
(1,18,37)	1
(1,19,4)	1
(1,19,17)	1
(1,19,28)	1
(2,1,25)	1
(2,1,39)	1
(2,2,10)	2
(2,2,16)	1
(2,2,17)	1
(2,2,22)	1
(2,3,19)	1
(2,3,23)	1
(2,4,7)	1
(2,5,20)	1
(2,5,27)	1
(2,5,32)	1
(2,5,34)	1
(2,5,35)	2
(2,6,25)	1
(2,6,35)	1
(2,7,15)	2
(2,7,21)	1
(2,7,22)	2
(2,7,25)	2
(2,7,29)	1
(2,7,31)	1
(2,7,35)	1
(2,7,36)	1
(2,7,47)	1
(2,8,1)	1
(2,8,5)	1
(2,8,7)	1
(2,9,11)	1
(2,9,25)	1
(2,9,26)	1
(2,9,34)	2
(2,9,43)	1
(2,10,29)	1
(2,10,40)	1
(3,1,23)	1
(3,1,26)	2
(3,1,33)	1
(3,1,37)	2
(3,1,45)	1
(3,2,5)	1
(3,2,9)	1
(3,3,2)	1
(3,3,19)	1
(3,3,21)	2
(3,4,6)	1
(3,4,7)	1
(3,5,15)	1
(3,5,41)	1
(3,5,44)	1
(3,5,47)	1
(3,6,37)	1
(3,7,36)	1
(3,8,5)	2
(3,8,10)	1
(3,8,12)	1
(3,8,20)	1
(3,8,31)	2
(3,8,32)	1
(3,9,3)	3
(3,9,7)	1
(3,9,10)	2
(3,9,26)	1
(3,9,37)	1
(3,9,43)	1
(3,9,44)	1
(3,10,11)	1
(3,10,18)	2
(3,10,19)	1
(3,11,2)	1
(3,11,3)	1
(3,11,5)	1
(3,11,15)	1
(3,11,18)	1
(3,11,31)	1
(3,11,32)	1
(3,11,38)	1
(3,12,12)	1
(3,12,13)	2
(3,12,16)	1
(3,12,31)	1
(3,12,49)	1
(3,13,13)	1
(3,13,28)	1
(3,13,29)	1
(3,13,30)	2
(3,13,34)	1
(3,13,42)	1
(3,13,44)	1
(3,14,34)	1
(3,14,37)	1
(3,15,14)	1
(3,15,19)	1
(3,15,23)	1
(3,15,25)	1
(3,15,27)	1
(3,15,29)	1
(3,15,30)	1
(3,15,31)	1
(3,15,35)	1
(3,15,45)	1
(3,16,2)	1
(3,16,9)	1
(3,16,10)	1
(3,16,12)	1
(3,16,14)	1
(3,16,15)	1
(3,17,8)	1
(3,17,15)	1
(3,17,19)	1
(3,17,22)	1
(3,17,25)	1
(3,17,26)	1
(3,17,31)	1
(3,18,26)	1
(3,19,4)	1
(3,19,21)	1
(3,19,29)	1
(3,19,31)	1
(3,20,12)	1
(3,20,17)	1
(3,20,22)	1
(3,20,23)	1
(3,20,25)	1
(3,20,34)	1
(3,20,36)	1
(3,20,47)	1
(3,20,53)	1
(3,21,10)	1
(3,21,18)	2
(3,21,20)	1
(3,22,31)	1
(3,22,33)	1
(3,22,34)	1
(3,23,8)	1
(3,23,11)	1
(3,23,14)	1
(3,23,18)	1
(3,23,31)	1
(3,23,38)	1
(3,23,44)	1
(3,24,1)	1
(3,26,5)	1
(3,26,25)	1
(3,26,45)	1
(3,27,11)	1
(3,28,12)	3
(3,28,26)	1
(3,28,27)	1
(3,28,31)	1
(3,28,38)	1
(3,29,12)	1
(3,29,28)	1
(3,29,32)	1
(3,30,13)	1
(3,30,14)	1
(3,30,17)	1
(3,30,20)	1
(3,30,32)	1
(3,31,2)	2
(3,31,8)	1
(3,31,12)	1
(3,31,14)	1
(3,31,18)	1
(3,31,19)	1
(3,31,20)	1
(3,31,25)	1
(3,31,37)	1
(3,32,20)	1
(3,32,35)	2
(3,32,36)	1
(3,33,5)	1
(4,1,27)	1
(4,1,30)	1
(4,1,48)	1
(4,1,49)	1
(4,1,50)	2
(4,1,51)	1
(4,1,59)	1
(4,2,10)	1
(4,2,28)	1
(4,3,6)	1
(4,3,21)	1
(4,4,4)	3
(4,4,8)	1
(4,4,14)	1
(4,4,15)	1
(4,4,17)	1
(4,4,24)	1
(4,4,29)	1
(4,4,30)	1
(4,5,10)	1
(4,5,11)	1
(4,5,22)	1
(4,6,11)	1
(4,6,12)	1
(4,6,44)	1
(4,6,47)	1
(4,7,29)	1
(4,7,31)	1
(4,7,56)	1
(4,8,3)	1
(4,8,24)	2
(4,8,31)	1
(4,9,4)	1
(4,9,5)	1
(4,9,18)	1
(4,9,20)	1
(4,9,27)	1
(4,9,36)	1
(4,9,43)	1
(4,9,60)	1
(4,9,64)	1
(4,9,66)	1
(4,10,22)	1
(4,10,28)	1
(4,10,29)	1
(4,11,10)	1
(4,12,17)	1
(4,12,21)	1
(4,12,26)	1
(4,12,42)	1
(4,13,8)	1
(4,13,12)	1
(4,13,16)	2
(4,13,23)	1
(4,13,47)	1
(4,14,34)	1
(4,15,17)	2
(4,16,7)	1
(4,16,14)	1
(4,17,3)	1
(4,17,11)	1
(4,17,22)	1
(4,18,25)	1
(4,19,3)	1
(4,19,7)	1
(4,19,16)	1
(4,19,34)	1
(4,20,27)	1
(4,21,22)	2
(4,21,29)	1
(4,21,33)	1
(4,21,39)	1
(4,22,23)	1
(4,22,26)	1
(4,22,37)	1
(4,22,38)	1
(4,22,39)	1
(4,22,60)	1
(4,23,4)	1
(4,23,11)	1
(4,23,24)	1
(4,23,34)	1
(4,24,7)	1
(4,24,40)	1
(4,25,18)	1
(4,25,24)	1
(4,25,38)	2
(4,25,47)	1
(4,25,50)	1
(4,25,51)	1
(4,26,1)	1
(4,26,2)	4
(4,26,6)	1
(4,26,13)	1
(4,26,25)	1
(4,27,11)	1
(4,27,16)	1
(4,28,1)	1
(4,28,10)	1
(4,28,37)	1
(4,29,5)	1
