<L>3<pc>1-001-a<k1>a<k2>3. *a	<hom>3.</hom> *{#a#}

<L>4<pc>1-001-a<k1>a<k2>4. *a	<hom>4.</hom> *{#a#}

<L>224<pc>1-003-b<k1>akra<k2>1. *a/kra	<hom>1.</hom> *{#a/kra#}

<L>254<pc>1-004-a<k1>akza<k2>5. *akza	<hom>5.</hom> *{#akza#}

<L>255<pc>1-004-a<k1>akza<k2>6. *akza	<hom>6.</hom> *{#akza#}

<L>421<pc>1-005-c<k1>aga<k2>1. *aga	<hom>1.</hom> *{#aga#}

<L>466<pc>1-006-b<k1>agADajala<k2>2. *agADajala	<hom>2.</hom> *{#agADajala#}

<L>780<pc>1-009-c<k1>agraha<k2>2. *agraha	<hom>2.</hom> *{#agraha#}

<L>917<pc>1-011-b<k1>aNkya<k2>1. *aNkya	<hom>1.</hom> *{#aNkya#}

<L>924<pc>1-011-c<k1>aNga<k2>4. *aNga	<hom>4.</hom> *{#aNga#}

<L>1056<pc>1-013-a<k1>aNgulizaNga<k2>1. *aNgulizaNga	<hom>1.</hom> *{#aNgulizaNga#}

<L>1057<pc>1-013-a<k1>aNgulizaNga<k2>2. *aNgulizaNga	<hom>2.</hom> *{#aNgulizaNga#}

<L>1101<pc>1-013-c<k1>acakzus<k2>1. *acakzus	<hom>1.</hom> *{#acakzus#}

<L>1162<pc>1-014-b<k1>acCa<k2>3. *acCa	<hom>3.</hom> *{#acCa#}

<L>1329<pc>1-016-b<k1>ajASva<k2>1. *ajASva	<hom>1.</hom> *{#ajASva#}

<L>1489<pc>1-018-b<k1>awwa<k2>1. *awwa	<hom>1.</hom> *{#awwa#}

<L>1717<pc>1-021-a<k1>atijAgara<k2>2. *atijAgara	<hom>2.</hom> *{#atijAgara#}

<L>2220<pc>1-026-b<k1>atejas<k2>1. *atejas	<hom>1.</hom> *{#atejas#}

<L>2407<pc>1-028-b<k1>adanta<k2>1. *adanta	<hom>1.</hom> *{#adanta#}

<L>2660<pc>1-031-b<k1>advija<k2>1. *advija	<hom>1.</hom> *{#advija#}

<L>2768<pc>1-032-c<k1>aDi<k2>2. *aDi	<hom>2.</hom> *{#aDi#}

<L>3174<pc>1-037-c<k1>ana<k2>3. *ana	<hom>3.</hom> *{#ana#}

<L>3686<pc>1-043-b<k1>anavaDAna<k2>1. *anavaDAna	<hom>1.</hom> *{#anavaDAna#}

<L>3687<pc>1-043-b<k1>anavaDAna<k2>2. *anavaDAna	<hom>2.</hom> *{#anavaDAna#}

<L>3728<pc>1-043-c<k1>anavasTAna<k2>2. *anavasTAna	<hom>2.</hom> *{#anavasTAna#}

<L>3840<pc>1-045-a<k1>anAtapa<k2>1. *anAtapa	<hom>1.</hom> *{#anAtapa#}

<L>4241<pc>1-049-c<k1>anISa<k2>2. *anISa	<hom>2.</hom> *{#anISa#}

<L>5421<pc>1-064-a<k1>antaHsattva<k2>2. *antaHsattva	<hom>2.</hom> *{#antaHsattva#}

<L>5443<pc>1-064-b<k1>anti<k2>2. *anti	<hom>2.</hom> *{#anti#}

<L>5860<pc>1-069-b<k1>apaGana<k2>1. *apaGana	<hom>1.</hom> *{#apaGana#}

<L>5933<pc>1-070-b<k1>apaTa<k2>2. *apaTa	<hom>2.</hom> *{#apaTa#}

<L>6730<pc>1-079-a<k1>apratikara<k2>2. *apratikara	<hom>2.</hom> *{#apratikara#}

<L>7063<pc>1-083-a<k1>aPena<k2>2. *aPena	<hom>2.</hom> *{#aPena#}

<L>7776<pc>1-091-a<k1>aBIka<k2>3. *aBIka	<hom>3.</hom> *{#aBIka#}

<L>8060<pc>1-094-b<k1>am<k2>2. *am	<hom>2.</hom> *{#am#}

<L>8068<pc>1-094-c<k1>amata<k2>2. *amata	<hom>2.</hom> *{#amata#}

<L>8214<pc>1-096-a<k1>amAMsa<k2>2. *amAMsa	<hom>2.</hom> *{#amAMsa#}

<L>8904<pc>1-104-b<k1>ara<k2>3. *ara	<hom>3.</hom> *{#ara#}

<L>9136<pc>1-106-c<k1>aru<k2>2. *aru	<hom>2.</hom> *{#aru#}

<L>9255<pc>1-108-a<k1>arkapattra<k2>2. *arkapattra	<hom>2.</hom> *{#arkapattra#}

<L>9257<pc>1-108-b<k1>arkaparRa<k2>2. *arkaparRa	<hom>2.</hom> *{#arkaparRa#}

<L>9821<pc>1-115-b<k1>arvan<k2>2. *arvan	<hom>2.</hom> *{#arvan#}

<L>9823<pc>1-115-b<k1>arvant<k2>2. *arvant	<hom>2.</hom> *{#arvant#}

<L>10002<pc>1-118-a<k1>ali<k2>2. *ali	<hom>2.</hom> *{#ali#}

<L>10368<pc>1-122-a<k1>avadAna<k2>3. *avadAna	<hom>3.</hom> *{#avadAna#}

<L>11128<pc>1-131-a<k1>avilambana<k2>2. *avilambana	<hom>2.</hom> *{#avilambana#}

<L>11296<pc>1-133-a<k1>avedya<k2>3. *avedya	<hom>3.</hom> *{#avedya#}

<L>11467<pc>1-135-b<k1>aSana<k2>1. *aSana	<hom>1.</hom> *{#aSana#}

<L>11918<pc>1-140-b<k1>aSvavAra<k2>1. *aSvavAra	<hom>1.</hom> *{#aSvavAra#}

<L>11925<pc>1-140-b<k1>aSvavid<k2>1. *aSvavid	<hom>1.</hom> *{#aSvavid#}

<L>11960<pc>1-140-c<k1>aSvasTAna<k2>2. *aSvasTAna	<hom>2.</hom> *{#aSvasTAna#}

<L>12020<pc>1-141-b<k1>azwakarRa<k2>2. *azwakarRa	<hom>2.</hom> *{#azwakarRa#}

