<L>1515<pc>1-018-c<k1>aqa<k2>°aqa	{#°aqa#}
<L>13539<pc>1-160-b<k1>Akzepin<k2>°Akzepin	{#°Akzepin#}

<L>13833<pc>1-163-c<k1>AcCAdin<k2>°AcCAdin	{#°AcCAdin#}

<L>14172<pc>1-167-c<k1>AtmadarSana<k2>°AtmadarSana	{#°AtmadarSana#}

<L>14327<pc>1-169-c<k1>Ada<k2>°Ada	{#°Ada#}

<L>14529<pc>1-171-c<k1>ADara<k2>°ADara	{#°ADara#}

<L>14532<pc>1-171-c<k1>ADarza<k2>°ADarza	{#°ADarza#}

<L>14541<pc>1-172-a<k1>ADAyaka<k2>°ADAyaka	{#°ADAyaka#}

<L>14542<pc>1-172-a<k1>ADAyin<k2>°ADAyin	{#°ADAyin#}

<L>14543<pc>1-172-a<k1>yitA<k2>°yitA	{#°yitA#}

<L>14918<pc>1-177-a<k1>ApAtin<k2>°ApAtin	{#°ApAtin#}

<L>14945<pc>1-177-a<k1>ApIqita<k2>°ApIqita	{#°ApIqita#}

<L>15005<pc>1-178-a<k1>ApyAyin<k2>°ApyAyin	{#°ApyAyin#}

<L>15063<pc>1-178-b<k1>ABarita<k2>°ABarita	{#°ABarita#}

<L>15072<pc>1-178-c<k1>ABAsin<k2>°ABAsin	{#°ABAsin#}

<L>15157<pc>1-179-c<k1>Amayin<k2>°Amayin	{#°Amayin#}

<L>15165<pc>1-179-c<k1>Amardin<k2>°Amardin	{#°Amardin#}

<L>15365<pc>1-182-a<k1>Ayuza<k2>°Ayuza	{#°Ayuza#}

<L>15505<pc>1-183-c<k1>ArAvin<k2>°ArAvin	{#°ArAvin#}

<L>15540<pc>1-184-a<k1>Aruha<k2>°Aruha	{#°Aruha#}

<L>15569<pc>1-184-b<k1>Aropaka<k2>°Aropaka	{#°Aropaka#}

<L>15669<pc>1-185-b<k1>ArdrArdra<k2>°ArdrArdra	{#°ArdrArdra#}

<L>15793<pc>1-187-a<k1>AlaBanIya<k2>°AlaBanIya	{#°AlaBanIya#}

