<L>9193<pc>1-107-b<k1>aruz<k2>2. *aruz	<hom>2.</hom> *√{#aruz#}

<L>12186<pc>1-144-b<k1>as<k2>4. *as	<hom>4.</hom> *√{#as#}

<L>13081<pc>1-155-a<k1>ah<k2>2. *ah	<hom>2.</hom> *√{#ah#}

<L>17862<pc>1-218-a<k1>uC<k2>2. *uC	<hom>2.</hom> *√{#uC#}

<L>20955<pc>1-255-c<k1>uh<k2>3. *uh	<hom>3.</hom> *√{#uh#}

<L>23864<pc>2-010-c<k1>kad<k2>2. *kad	<hom>2.</hom> *√{#kad#}

<L>24530<pc>2-021-a<k1>kar<k2>4. *kar	<hom>4.</hom> *√{#kar#}

<L>24531<pc>2-021-a<k1>kar<k2>5. *kar	<hom>5.</hom> *√{#kar#}

<L>25347<pc>2-032-a<k1>kal<k2>1. *kal	<hom>1.</hom> *√{#kal#}

<L>25907<pc>2-041-a<k1>kas<k2>2. *kas	<hom>2.</hom> *√{#kas#}

<L>25908<pc>2-041-a<k1>kas<k2>3. *kas	<hom>3.</hom> *√{#kas#}

<L>25948<pc>2-041-b<k1>kA<k2>4. *kA	<hom>4.</hom> *√{#kA#}

<L>28273<pc>2-070-c<k1>kuw<k2>2. *kuw	<hom>2.</hom> *√{#kuw#}

<L>28274<pc>2-070-c<k1>kuw<k2>3. *kuw	<hom>3.</hom> *√{#kuw#}

<L>28667<pc>2-076-a<k1>kup<k2>2. *kup	<hom>2.</hom> *√{#kup#}

<L>28971<pc>2-079-c<k1>kur<k2>2. *kur	<hom>2.</hom> *√{#kur#}

<L>29090<pc>2-080-c<k1>kul<k2>2. *kul	<hom>2.</hom> *√{#kul#}

<L>29735<pc>2-088-b<k1>kUq<k2>1. *kUq	<hom>1.</hom> *√{#kUq#}

<L>29823<pc>2-089-b<k1>kUl<k2>1. *kUl	<hom>1.</hom> *√{#kUl#}

<L>31934<pc>2-116-a<k1>kruYc<k2>1. *kruYc	<hom>1.</hom> *√{#kruYc#}

<L>32295<pc>2-121-b<k1>kzap<k2>3. *kzap	<hom>3.</hom> *√{#kzap#}

<L>32399<pc>2-123-a<k1>kzal<k2>1. *kzal	<hom>1.</hom> *√{#kzal#}

<L>33154<pc>2-133-a<k1>kzviq<k2>2. *kzviq	<hom>2.</hom> *√{#kzviq#}

<L>33156<pc>2-133-a<k1>kzvid<k2>2. *kzvid	<hom>2.</hom> *√{#kzvid#}

<L>33238<pc>2-134-a<k1>Kaw<k2>1. *Kaw	<hom>1.</hom> *√{#Kaw#}

<L>33683<pc>2-139-b<k1>KA<k2>3. *KA	<hom>3.</hom> *√{#KA#}

<L>34409<pc>2-148-c<k1>gad<k2>2. *gad	<hom>2.</hom> *√{#gad#}

<L>34734<pc>2-156-b<k1>gar<k2>4. *gar	<hom>4.</hom> *√{#gar#}

<L>35164<pc>2-162-c<k1>gA<k2>5. *gA	<hom>5.</hom> *√{#gA#}

<L>35587<pc>2-168-a<k1>gu<k2>2. *gu	<hom>2.</hom> *√{#gu#}

<L>35588<pc>2-168-a<k1>gu<k2>3. *gu	<hom>3.</hom> *√{#gu#}

<L>36085<pc>2-174-c<k1>gU<k2>1. *gU	<hom>1.</hom> *√{#gU#}

<L>37830<pc>2-198-a<k1>Gar<k2>2. *Gar	<hom>2.</hom> *√{#Gar#}

<L>37924<pc>2-199-b<k1>Gu<k2>1. *Gu	<hom>1.</hom> *√{#Gu#}

<L>39427<pc>2-220-c<k1>cal<k2>2. *cal	<hom>2.</hom> *√{#cal#}

<L>39428<pc>2-220-c<k1>cal<k2>3. *cal	<hom>3.</hom> *√{#cal#}

<L>40284<pc>2-232-c<k1>ciri<k2>1. *ciri	<hom>1.</hom> *√{#ciri#}

<L>40444<pc>2-234-b<k1>cup<k2>2. *cup	<hom>2.</hom> *√{#cup#}

<L>40454<pc>2-234-c<k1>cumb<k2>2. *cumb	<hom>2.</hom> *√{#cumb#}

<L>40529<pc>2-235-c<k1>cUr<k2>2. *cUr	<hom>2.</hom> *√{#cUr#}

<L>40818<pc>2-240-a<k1>cyu<k2>2. *cyu	<hom>2.</hom> *√{#cyu#}

<L>40885<pc>2-241-b<k1>Cad<k2>5. *Cad	<hom>5.</hom> *√{#Cad#}

<L>40905<pc>2-241-c<k1>Cand<k2>3. *Cand	<hom>3.</hom> *√{#Cand#}

<L>41969<pc>2-257-b<k1>jal<k2>1. *jal	<hom>1.</hom> *√{#jal#}

<L>42359<pc>2-261-b<k1>jA<k2>2. *jA	<hom>2.</hom> *√{#jA#}

<L>43159<pc>2-272-c<k1>juz<k2>3. *juz	<hom>3.</hom> *√{#juz#}

<L>43187<pc>2-273-a<k1>jUr<k2>2. *jUr	<hom>2.</hom> *√{#jUr#}

<L>44093<pc>3-002-a<k1>taYc<k2>2. *taYc	<hom>2.</hom> *√{#taYc#}

<L>44109<pc>3-002-b<k1>taq<k2>2. *taq	<hom>2.</hom> *√{#taq#}

<L>44366<pc>3-007-b<k1>tan<k2>4. *tan	<hom>4.</hom> *√{#tan#}

<L>44566<pc>3-011-a<k1>tap<k2>3. *tap	<hom>3.</hom> *√{#tap#}

<L>45077<pc>3-019-b<k1>tas<k2>1. *tas	<hom>1.</hom> *√{#tas#}

<L>45913<pc>3-030-b<k1>til<k2>2. *til	<hom>2.</hom> *√{#til#}

<L>47280<pc>3-047-b<k1>tras<k2>2. *tras	<hom>2.</hom> *√{#tras#}

<L>48227<pc>3-059-b<k1>tvac<k2>2. *tvac	<hom>2.</hom> *√{#tvac#}

<L>48353<pc>3-061-a<k1>daMS<k2>2. *daMS	<hom>2.</hom> *√{#daMS#}

<L>48354<pc>3-061-a<k1>daMS<k2>3. *daMS	<hom>3.</hom> *√{#daMS#}

<L>48379<pc>3-061-b<k1>daMs<k2>2. *daMs	<hom>2.</hom> *√{#daMs#}

<L>49083<pc>3-071-a<k1>darp<k2>2. *darp	<hom>2.</hom> *√{#darp#}

<L>49084<pc>3-071-a<k1>darp<k2>3. *darp	<hom>3.</hom> *√{#darp#}

<L>49097<pc>3-071-b<k1>darB<k2>2. *darB	<hom>2.</hom> *√{#darB#}

<L>49515<pc>3-079-c<k1>dA<k2>5. *dA	<hom>5.</hom> *√{#dA#}

<L>50450<pc>3-092-b<k1>dI<k2>4. *dI	<hom>4.</hom> *√{#dI#}

<L>50770<pc>3-097-a<k1>du<k2>3. *du	<hom>3.</hom> *√{#du#}

<L>51748<pc>3-109-a<k1>duh<k2>3. *duh	<hom>3.</hom> *√{#duh#}

<L>53159<pc>3-125-c<k1>dyA<k2>1. *dyA	<hom>1.</hom> *√{#dyA#}

<L>54355<pc>3-140-b<k1>Dan<k2>2. *Dan	<hom>2.</hom> *√{#Dan#}

<L>54597<pc>3-145-b<k1>Dar<k2>2. *Dar	<hom>2.</hom> *√{#Dar#}

<L>55373<pc>3-160-c<k1>Di<k2>2. *Di	<hom>2.</hom> *√{#Di#}

<L>55415<pc>3-161-b<k1>DI<k2>3. *DI	<hom>3.</hom> *√{#DI#}

<L>55948<pc>3-169-a<k1>Dru<k2>1. *Dru	<hom>1.</hom> *√{#Dru#}

<L>56012<pc>3-170-b<k1>Dvaj<k2>1. *Dvaj	<hom>1.</hom> *√{#Dvaj#}

<L>56816<pc>3-181-c<k1>nar<k2>2. *nar	<hom>2.</hom> *√{#nar#}

<L>58119<pc>3-199-a<k1>nAs<k2>2. *nAs	<hom>2.</hom> *√{#nAs#}

<L>59843<pc>3-222-c<k1>niS<k2>1. *niS	<hom>1.</hom> *√{#niS#}

<L>61762<pc>4-004-b<k1>pac<k2>3. *pac	<hom>3.</hom> *√{#pac#}

<L>62375<pc>4-012-b<k1>paR<k2>2. *paR	<hom>2.</hom> *√{#paR#}

<L>62395<pc>4-012-c<k1>paRAy<k2>2. *paRAy	<hom>2.</hom> *!√{#paRAy#}

<L>62715<pc>4-021-b<k1>pad<k2>3. *pad	<hom>3.</hom> *√{#pad#}

<L>65314<pc>4-060-b<k1>pA<k2>6. *pA	<hom>6.</hom> *√{#pA#}

<L>66695<pc>4-079-a<k1>pi<k2>2. *pi	<hom>2.</hom> *√{#pi#}

<L>67484<pc>4-090-c<k1>puMs<k2>2. *puMs	<hom>2.</hom> *√{#puMs#}

<L>67963<pc>4-097-a<k1>pur<k2>3. *pur	<hom>3.</hom> *√{#pur#}

<L>68484<pc>4-104-b<k1>puz<k2>3. *puz	<hom>3.</hom> *√{#puz#}

<L>72195<pc>4-155-c<k1>praT<k2>2. *praT	<hom>2.</hom> *√{#praT#}

<L>74992<pc>4-196-a<k1>prez<k2>1. *prez	<hom>1.</hom> *√{#prez#}

<L>75295<pc>4-201-a<k1>Pal<k2>3. *Pal	<hom>3.</hom> *√{#Pal#}

<L>78567<pc>4-247-b<k1>Baw<k2>2. *Baw	<hom>2.</hom> *√{#Baw#}

<L>78865<pc>4-251-c<k1>Bar<k2>2. *Bar	<hom>2.</hom> *√{#Bar#}

<L>81160<pc>4-287-c<k1>BraMS<k2>2. *BraMS	<hom>2.</hom> *√{#BraMS#}

<L>81417<pc>5-002-a<k1>makz<k2>2. *makz	<hom>2.</hom> *√{#makz#}

<L>83664<pc>5-034-c<k1>marj<k2>2. *marj	<hom>2.</hom> *√{#marj#}

<L>83994<pc>5-039-c<k1>mas<k2>1. *mas	<hom>1.</hom> *√{#mas#}

<L>86392<pc>5-071-c<k1>mArg<k2>2. *mArg	<hom>2.</hom> *√{#mArg#}

<L>86887<pc>5-078-c<k1>mits<k2>2. *mits	<hom>2.</hom> *√{#mits#}

<L>86888<pc>5-078-c<k1>mits<k2>3. *mits	<hom>3.</hom> *√{#mits#}

<L>86974<pc>5-080-a<k1>mid<k2>2. *mid	<hom>2.</hom> *√{#mid#}

<L>87042<pc>5-081-a<k1>miz<k2>2. *miz	<hom>2.</hom> *√{#miz#}

<L>87110<pc>5-082-a<k1>mIm<k2>2. *mIm	<hom>2.</hom> *√{#mIm#}

<L>87123<pc>5-082-c<k1>mIv<k2>2. *mIv	<hom>2.</hom> *√{#mIv#}

<L>87424<pc>5-088-a<k1>muc<k2>3. *muc	<hom>3.</hom> *√{#muc#}

<L>87438<pc>5-088-b<k1>muYc<k2>2. *muYc	<hom>2.</hom> *√{#muYc#}

<L>87439<pc>5-088-b<k1>muYc<k2>3. *muYc	<hom>3.</hom> *√{#muYc#}

<L>87520<pc>5-089-b<k1>mud<k2>3. *mud	<hom>3.</hom> *√{#mud#}

<L>87637<pc>5-091-a<k1>mur<k2>2. *mur	<hom>2.</hom> *√{#mur#}

<L>87692<pc>5-091-c<k1>muz<k2>3. *muz	<hom>3.</hom> *√{#muz#}

<L>87693<pc>5-091-c<k1>muz<k2>4. *muz	<hom>4.</hom> *√{#muz#}

<L>87790<pc>5-093-b<k1>mU<k2>1. *mU	<hom>1.</hom> *√{#mU#}

<L>88056<pc>5-097-b<k1>mUz<k2>1. *mUz	<hom>1.</hom> *√{#mUz#}

<L>91103<pc>5-147-b<k1>yut<k2>2. *yut	<hom>2.</hom> *√{#yut#}

<L>91304<pc>5-149-c<k1>yez<k2>2. *yez	<hom>2.</hom> *√{#yez#}

<L>92757<pc>5-171-a<k1>ramb<k2>2. *ramb	<hom>2.</hom> *√{#ramb#}

<L>94862<pc>5-203-b<k1>rez<k2>1. *rez	<hom>1.</hom> *√{#rez#}

<L>95612<pc>5-215-a<k1>laj<k2>2. *laj	<hom>2.</hom> *√{#laj#}

<L>95613<pc>5-215-a<k1>laj<k2>3. *laj	<hom>3.</hom> *√{#laj#}

<L>95633<pc>5-215-b<k1>laYj<k2>1. *laYj	<hom>1.</hom> *√{#laYj#}

<L>95634<pc>5-215-b<k1>laYj<k2>2. *laYj	<hom>2.</hom> *√{#laYj#}

<L>95638<pc>5-215-b<k1>law<k2>1. *law	<hom>1.</hom> *√{#law#}

<L>95767<pc>5-218-c<k1>lamb<k2>2. *lamb	<hom>2.</hom> *√{#lamb#}

<L>96107<pc>5-224-a<k1>lAlay<k2>2. *lAlay	<hom>2.</hom> *!√{#lAlay#}

<L>96736<pc>5-236-a<k1>low<k2>1. *low	<hom>1.</hom> *√{#low#}

<L>98668<pc>6-026-b<k1>varc<k2>1. *varc	<hom>1.</hom> *√{#varc#}

<L>98669<pc>6-026-b<k1>varc<k2>2. *varc	<hom>2.</hom> *√{#varc#}

<L>98876<pc>6-036-a<k1>varD<k2>3. *varD	<hom>3.</hom> *√{#varD#}

<L>99001<pc>6-038-a<k1>varzay<k2>2. *varzay	<hom>2.</hom> *!√{#varzay#}

<L>99306<pc>6-044-b<k1>vas<k2>9. *vas	<hom>9.</hom> *√{#vas#}

<L>102102<pc>6-084-c<k1>vij<k2>3. *vij	<hom>3.</hom> *√{#vij#}

<L>102874<pc>6-096-a<k1>viD<k2>5. *viD	<hom>5.</hom> *√{#viD#}

<L>103248<pc>6-101-c<k1>vip<k2>3. *vip	<hom>3.</hom> *√{#vip#}

<L>105116<pc>6-131-c<k1>viz<k2>4. *viz	<hom>4.</hom> *√{#viz#}

<L>105117<pc>6-131-c<k1>viz<k2>5. *viz	<hom>5.</hom> *√{#viz#}

<L>108889<pc>6-185-b<k1>vyuz<k2>2. *vyuz	<hom>2.</hom> *√{#vyuz#}

<L>110776<pc>6-213-a<k1>SarD<k2>3. *SarD	<hom>3.</hom> *√{#SarD#}

<L>111157<pc>6-217-c<k1>SA<k2>3. *SA	<hom>3.</hom> *√{#SA#}

<L>112825<pc>6-240-a<k1>Siz<k2>2. *Siz	<hom>2.</hom> *√{#Siz#}

<L>113117<pc>6-244-c<k1>SIl<k2>1. *SIl	<hom>1.</hom> *√{#SIl#}

<L>113163<pc>6-245-b<k1>Su<k2>1. *Su	<hom>1.</hom> *√{#Su#}

<L>114804<pc>6-267-c<k1>SraT<k2>2. *SraT	<hom>2.</hom> *√{#SraT#}

<L>119773<pc>7-052-b<k1>sam<k2>1. *sam	<hom>1.</hom> *√{#sam#}

<L>121555<pc>7-080-a<k1>sarj<k2>2. *sarj	<hom>2.</hom> *√{#sarj#}

<L>122813<pc>7-099-a<k1>sah<k2>3. *sah	<hom>3.</hom> *√{#sah#}

<L>125608<pc>7-138-a<k1>su<k2>5. *su	<hom>5.</hom> *√{#su#}

<L>131347<pc>7-219-a<k1>snuh<k2>1. *snuh	<hom>1.</hom> *√{#snuh#}

<L>131400<pc>7-220-a<k1>spar<k2>2. *spar	<hom>2.</hom> *√{#spar#}

