<L>16<pc>1-001-a<k1>aMSay<k2>*aMSay	*!√{#aMSay#}

<L>48<pc>1-001-c<k1>aMh<k2>*aMh	*√{#aMh#}

<L>435<pc>1-006-a<k1>agady<k2>*agady	*!√{#agady#}

<L>827<pc>1-010-b<k1>aGay<k2>*aGay	*!√{#aGay#}

<L>867<pc>1-010-c<k1>aNk<k2>*aNk	*√{#aNk#}

<L>1082<pc>1-013-b<k1>aNG<k2>*aNG	*√{#aNG#}

<L>1487<pc>1-018-b<k1>awAy<k2>*awAy	*!√{#awAy#}

<L>1488<pc>1-018-b<k1>aww<k2>*aww	*√{#aww#}

<L>1505<pc>1-018-c<k1>awwAy<k2>*awwAy	*!√{#awwAy#}

<L>1512<pc>1-018-c<k1>aW<k2>*aW	*√{#aW#}

<L>1514<pc>1-018-c<k1>aq<k2>*aq	*√{#aq#}

<L>1519<pc>1-018-c<k1>aqq<k2>*aqq	*√{#aqq#}

<L>1522<pc>1-018-c<k1>aR<k2>*aR	*√{#aR#}

<L>1559<pc>1-019-a<k1>aRW<k2>*aRW	*√{#aRW#}

<L>1976<pc>1-023-c<k1>atirAjay<k2>*atirAjay	*!√{#atirAjay#}

<L>2172<pc>1-025-c<k1>atihastay<k2>*atihastay	*!√{#atihastay#}

<L>2365<pc>1-028-a<k1>aTary<k2>*aTary	*!√{#aTary#}

<L>2439<pc>1-029-a<k1>adasy<k2>*adasy	*!√{#adasy#}

<L>3246<pc>1-038-b<k1>anaquhy<k2>*anaquhy	*!√{#anaquhy#}

<L>4401<pc>1-052-a<k1>anutUlay<k2>*anutUlay	*!√{#anutUlay#}

<L>5493<pc>1-065-a<k1>and<k2>*and	*√{#and#}

<L>5496<pc>1-065-a<k1>andolay<k2>*andolay	*!√{#andolay#}

<L>6197<pc>1-073-a<k1>apary<k2>*apary	*!√{#apary#}

<L>7036<pc>1-082-c<k1>apsarAy<k2>*apsarAy	*!√{#apsarAy#}

<L>7498<pc>1-088-a<k1>aBimanAy<k2>*aBimanAy	*!√{#aBimanAy#}

<L>7743<pc>1-090-c<k1>aBisAvakIy<k2>*aBisAvakIy	*!√{#aBisAvakIy#}

<L>8011<pc>1-094-a<k1>aBr<k2>*aBr	*√{#aBr#}

<L>8046<pc>1-094-b<k1>aBrAy<k2>*aBrAy	*!√{#aBrAy#}

<L>8506<pc>1-099-b<k1>amb<k2>*amb	*√{#amb#}

<L>8528<pc>1-099-c<k1>ambary<k2>*ambary	*!√{#ambary#}

<L>8614<pc>1-100-c<k1>amB<k2>*amB	*√{#amB#}

<L>8924<pc>1-104-c<k1>arajAy<k2>*arajAy	*!√{#arajAy#}

<L>9022<pc>1-105-b<k1>arary<k2>*arary	*!√{#arary#}

<L>9273<pc>1-108-b<k1>arkay<k2>*arkay	*!√{#arkay#}

<L>9304<pc>1-108-c<k1>arkz<k2>*arkz	*√{#arkz#}

<L>9314<pc>1-108-c<k1>arG<k2>*arG	*√{#arG#}

<L>9373<pc>1-109-c<k1>arR<k2>*arR	*√{#arR#}

<L>9541<pc>1-112-a<k1>arTApay<k2>*arTApay	*!√{#arTApay#}

<L>9782<pc>1-115-a<k1>arb<k2>*arb	*√{#arb#}

<L>9818<pc>1-115-b<k1>arv<k2>*arv	*√{#arv#}

<L>9877<pc>1-116-b<k1>al<k2>*al	*√{#al#}

<L>10047<pc>1-118-b<k1>alIkAy<k2>*alIkAy	*!√{#alIkAy#}

<L>10349<pc>1-121-c<k1>avatUlay<k2>*avatUlay	*!√{#avatUlay#}

<L>10623<pc>1-125-a<k1>avary<k2>*avary	*!√{#avary#}

<L>11486<pc>1-135-c<k1>aSanIy<k2>*aSanIy	*!√{#aSanIy#}

<L>11661<pc>1-137-b<k1>aSnItapibatIy<k2>*aSnItapibatIy	*!√{#aSnItapibatIy#}

<L>11788<pc>1-138-c<k1>aSv<k2>*aSv	*√{#aSv#}

<L>11893<pc>1-140-a<k1>aSvay<k2>*aSvay	*!√{#aSvay#}

<L>11961<pc>1-140-c<k1>aSvasy<k2>*aSvasy	*!√{#aSvasy#}

<L>12000<pc>1-141-a<k1>aSvIy<k2>*aSvIy	*!√{#aSvIy#}

<L>12006<pc>1-141-a<k1>az<k2>*az	*√{#az#}

<L>12996<pc>1-154-a<k1>asmay<k2>*asmay	*!√{#asmay#}

<L>13032<pc>1-154-b<k1>asrAy<k2>*asrAy	*!√{#asrAy#}

<L>14022<pc>1-166-a<k1>ARavay<k2>*ARavay	*!√{#ARavay#}

<L>15367<pc>1-182-a<k1>Ayuzay<k2>*Ayuzay	*!√{#Ayuzay#}

<L>16181<pc>1-191-b<k1>AScary<k2>*AScary	*!√{#AScary#}

<L>16614<pc>1-197-b<k1>Ahvaray<k2>*Ahvaray	*!√{#Ahvaray#}

<L>16679<pc>1-201-b<k1>iK<k2>*iK	*√{#iK#}

<L>16709<pc>1-201-c<k1>iYj<k2>*iYj	*√{#iYj#}

