<L>16<pc>1-001-a<k1>aMSay<k2>*aMSay	*!√{#aMSay#}
<L>16756<pc>1-202-c<k1>itaray<k2>*itaray	*!√{#itaray#}

<L>16837<pc>1-203-c<k1>idAm<k2>*idAm	*!√{#idAm#}

<L>16865<pc>1-204-a<k1>ind<k2>*ind	*√{#ind#}

<L>17159<pc>1-207-a<k1>indrIy<k2>*indrIy	*!√{#indrIy#}

<L>17211<pc>1-207-c<k1>ir<k2>*ir	*√{#ir#}

<L>17242<pc>1-208-b<k1>iry<k2>*iry	*!√{#iry#}

<L>17443<pc>1-212-a<k1>IK<k2>*IK	*√{#IK#}

<L>17466<pc>1-212-b<k1>Int<k2>*Int	*√{#Int#}

<L>17485<pc>1-213-a<k1>Irkzy<k2>*Irkzy	*!√{#Irkzy#}

<L>17518<pc>1-213-b<k1>ISay<k2>*ISay	*!√{#ISay#}

<L>17670<pc>1-215-c<k1>uK<k2>*uK	*√{#uK#}

<L>17727<pc>1-216-b<k1>uNK<k2>*uNK	*√{#uNK#}

<L>17910<pc>1-218-c<k1>uW<k2>*uW	*√{#uW#}

<L>17911<pc>1-218-c<k1>uq<k2>*uq	*√{#uq#}

<L>18010<pc>1-220-a<k1>utkAy<k2>*utkAy	*!√{#utkAy#}

<L>18449<pc>1-225-b<k1>utpucCay<k2>*utpucCay	*!√{#utpucCay#}

<L>18531<pc>1-226-c<k1>utsukAy<k2>*utsukAy	*!√{#utsukAy#}

<L>18612<pc>1-227-b<k1>udakIy<k2>*udakIy	*!√{#udakIy#}

<L>19260<pc>1-235-b<k1>uDras<k2>*uDras	*√{#uDras#}

<L>20077<pc>1-245-b<k1>upaSlokay<k2>*upaSlokay	*!√{#upaSlokay#}

<L>20603<pc>1-251-c<k1>urasy<k2>*urasy	*!√{#urasy#}

<L>20719<pc>1-253-a<k1>ulaRq<k2>*ulaRq	*√{#ulaRq#}

<L>20845<pc>1-254-c<k1>uzasy<k2>*uzasy	*!√{#uzasy#}

<L>20952<pc>1-255-c<k1>usrIy<k2>*usrIy	*!√{#usrIy#}

<L>20970<pc>1-256-a<k1>UW<k2>*UW	*√{#UW#}

<L>20974<pc>1-256-a<k1>UQay<k2>*UQay	*!√{#UQay#}

<L>21007<pc>1-256-b<k1>Uy<k2>*Uy	*!√{#Uy#}

<L>21219<pc>1-259-a<k1>Uz<k2>*Uz	*√{#Uz#}

<L>21246<pc>1-259-b<k1>UzmAy<k2>*UzmAy	*!√{#UzmAy#}

<L>21592<pc>1-264-a<k1>fBukzIn<k2>*fBukzIn	*√{#fBukzIn#}

<L>22180<pc>1-271-b<k1>eW<k2>*eW	*√{#eW#}

<L>22184<pc>1-271-b<k1>eqakIy<k2>*eqakIy	*!√{#eqakIy#}

<L>22233<pc>1-272-a<k1>etay<k2>*etay	*!√{#etay#}

<L>22301<pc>1-273-a<k1>elAy<k2>*elAy	*!√{#elAy#}

<L>22613<pc>1-276-b<k1>oK<k2>*oK	*√{#oK#}

<L>22627<pc>1-276-c<k1>oMkArIy<k2>*oMkArIy	*!√{#oMkArIy#}

<L>22629<pc>1-276-c<k1>oj<k2>*oj	*√{#oj#}

<L>22634<pc>1-276-c<k1>ojasy<k2>*ojasy	*!√{#ojasy#}

<L>22657<pc>1-277-a<k1>oQIy<k2>*oQIy	*!√{#oQIy#}

<L>22659<pc>1-277-a<k1>oR<k2>*oR	*√{#oR#}

<L>23123<pc>2-001-b<k1>kaMs<k2>*kaMs	*√{#kaMs#}

<L>23140<pc>2-001-c<k1>kak<k2>*kak	*√{#kak#}

<L>23182<pc>2-002-b<k1>kakk<k2>*kakk	*√{#kakk#}

<L>23189<pc>2-002-b<k1>kakK<k2>*kakK	*√{#kakK#}

<L>23207<pc>2-002-c<k1>kakzAy<k2>*kakzAy	*!√{#kakzAy#}

<L>23225<pc>2-003-a<k1>kaK<k2>*kaK	*√{#kaK#}

<L>23226<pc>2-003-a<k1>kag<k2>*kag	*√{#kag#}

<L>23228<pc>2-003-a<k1>kaNk<k2>*kaNk	*√{#kaNk#}

<L>23285<pc>2-003-c<k1>kac<k2>*kac	*√{#kac#}

<L>23334<pc>2-004-a<k1>kaj<k2>*kaj	*√{#kaj#}

<L>23346<pc>2-004-b<k1>kaYc<k2>*kaYc	*√{#kaYc#}

<L>23373<pc>2-004-c<k1>kaw<k2>*kaw	*√{#kaw#}

<L>23531<pc>2-006-b<k1>kaW<k2>*kaW	*√{#kaW#}

<L>23556<pc>2-006-c<k1>kaWIy<k2>*kaWIy	*!√{#kaWIy#}

<L>23569<pc>2-006-c<k1>kaq<k2>*kaq	*√{#kaq#}

<L>23586<pc>2-007-a<k1>kaqq<k2>*kaqq	*√{#kaqq#}

<L>23587<pc>2-007-a<k1>kaR<k2>*kaR	*√{#kaR#}

<L>23618<pc>2-007-b<k1>kaRw<k2>*kaRw	*√{#kaRw#}

<L>23671<pc>2-008-a<k1>kaRW<k2>*kaRW	*√{#kaRW#}

<L>23722<pc>2-008-b<k1>kaRq<k2>*kaRq	*√{#kaRq#}

<L>23771<pc>2-009-a<k1>kaRvAy<k2>*kaRvAy	*!√{#kaRvAy#}

<L>23810<pc>2-009-b<k1>katray<k2>*katray	*!√{#katray#}

<L>24002<pc>2-012-a<k1>kanay<k2>*kanay	*!√{#kanay#}

<L>24382<pc>2-016-c<k1>kab<k2>*kab	*√{#kab#}

<L>24482<pc>2-018-a<k1>kamb<k2>*kamb	*√{#kamb#}

<L>24902<pc>2-025-c<k1>karj<k2>*karj	*√{#karj#}

<L>24989<pc>2-026-c<k1>karRay<k2>*karRay	*!√{#karRay#}

<L>25083<pc>2-027-c<k1>kartay<k2>*kartay	*!√{#kartay#}

<L>25114<pc>2-028-b<k1>karttray<k2>*karttray	*!√{#karttray#}

<L>25118<pc>2-028-b<k1>kartrIy<k2>*kartrIy	*!√{#kartrIy#}

<L>25120<pc>2-028-b<k1>kard<k2>*kard	*√{#kard#}

<L>25172<pc>2-028-c<k1>karb<k2>*karb	*√{#karb#}

<L>25319<pc>2-030-c<k1>karv<k2>*karv	*√{#karv#}

<L>25410<pc>2-033-b<k1>kalay<k2>*kalay	*!√{#kalay#}

<L>25711<pc>2-038-c<k1>kall<k2>*kall	*√{#kall#}

<L>25728<pc>2-038-c<k1>kav<k2>*kav	*√{#kav#}

<L>25833<pc>2-039-c<k1>kavy<k2>*kavy	*!√{#kavy#}

<L>25840<pc>2-040-a<k1>kaS<k2>*kaS	*√{#kaS#}

<L>25950<pc>2-041-b<k1>kAMs<k2>*kAMs	*√{#kAMs#}

<L>26849<pc>2-052-c<k1>kArikeyIy<k2>*kArikeyIy	*!√{#kArikeyIy#}

<L>27224<pc>2-057-c<k1>kAlay<k2>*kAlay	*!√{#kAlay#}

<L>27780<pc>2-064-b<k1>kiMkAmy<k2>*kiMkAmy	*!√{#kiMkAmy#}

<L>27817<pc>2-064-c<k1>kiw<k2>*kiw	*√{#kiw#}

<L>27951<pc>2-066-c<k1>kiroqAwy<k2>*kiroqAwy	*!√{#kiroqAwy#}

<L>27958<pc>2-066-c<k1>kil<k2>*kil	*√{#kil#}

<L>27993<pc>2-067-b<k1>kizk<k2>*kizk	*√{#kizk#}

<L>28019<pc>2-067-c<k1>kIw<k2>*kIw	*√{#kIw#}

<L>28085<pc>2-068-b<k1>kIl<k2>*kIl	*√{#kIl#}

<L>28113<pc>2-068-c<k1>kuMS<k2>*kuMS	*√{#kuMS#}

<L>28115<pc>2-068-c<k1>kuMs<k2>*kuMs	*√{#kuMs#}

<L>28117<pc>2-068-c<k1>kuk<k2>*kuk	*√{#kuk#}

<L>28233<pc>2-070-b<k1>kuj<k2>*kuj	*√{#kuj#}

<L>28333<pc>2-071-b<k1>kuwIy<k2>*kuwIy	*!√{#kuwIy#}

<L>28341<pc>2-071-c<k1>kuwumbay<k2>*kuwumbay	*!√{#kuwumbay#}

<L>28381<pc>2-072-a<k1>kuq<k2>*kuq	*√{#kuq#}

<L>28407<pc>2-072-b<k1>kuR<k2>*kuR	*√{#kuR#}

<L>28428<pc>2-072-c<k1>kuRw<k2>*kuRw	*√{#kuRw#}

<L>28438<pc>2-072-c<k1>kuRq<k2>*kuRq	*√{#kuRq#}

<L>28561<pc>2-074-c<k1>kud<k2>*kud	*√{#kud#}

<L>28665<pc>2-075-c<k1>kundr<k2>*kundr	*√{#kundr#}

<L>28801<pc>2-077-b<k1>kumAray<k2>*kumAray	*!√{#kumAray#}

<L>28846<pc>2-077-c<k1>kumAlay<k2>*kumAlay	*!√{#kumAlay#}

<L>28880<pc>2-078-b<k1>kump<k2>*kump	*√{#kump#}

<L>28882<pc>2-078-b<k1>kumb<k2>*kumb	*√{#kumb#}

<L>28886<pc>2-078-b<k1>kumB<k2>*kumB	*√{#kumB#}

<L>29080<pc>2-080-c<k1>kurkurIy<k2>*kurkurIy	*!√{#kurkurIy#}

<L>29403<pc>2-084-b<k1>kuS<k2>*kuS	*√{#kuS#}

<L>29498<pc>2-085-b<k1>kuzuB<k2>*kuzuB	*√{#kuzuB#}

<L>29526<pc>2-086-a<k1>kus<k2>*kus	*√{#kus#}

<L>29600<pc>2-086-c<k1>kusumy<k2>*kusumy	*!√{#kusumy#}

<L>29618<pc>2-086-c<k1>kusmay<k2>*kusmay	*!√{#kusmay#}

<L>29635<pc>2-087-a<k1>kuhay<k2>*kuhay	*!√{#kuhay#}

<L>29710<pc>2-088-a<k1>kUway<k2>*kUway	*!√{#kUway#}

<L>29764<pc>2-088-c<k1>kUpay<k2>*kUpay	*!√{#kUpay#}

<L>29906<pc>2-090-b<k1>kfq<k2>*kfq	*√{#kfq#}

<L>29986<pc>2-091-b<k1>kftay<k2>*kftay	*!√{#kftay#}

<L>30162<pc>2-093-c<k1>kfpaRAy<k2>*kfpaRAy	*!√{#kfpaRAy#}

<L>30311<pc>2-095-a<k1>kfzR<k2>*kfzR	*√{#kfzR#}

<L>30658<pc>2-099-a<k1>kep<k2>*kep	*√{#kep#}

<L>30674<pc>2-099-a<k1>kel<k2>*kel	*√{#kel#}

<L>30678<pc>2-099-a<k1>kelAy<k2>*kelAy	*!√{#kelAy#}

<L>30714<pc>2-099-b<k1>kev<k2>*kev	*√{#kev#}

<L>31022<pc>2-103-a<k1>kowAy<k2>*kowAy	*!√{#kowAy#}

<L>31618<pc>2-110-a<k1>knaMs<k2>*knaMs	*√{#knaMs#}

<L>31619<pc>2-110-a<k1>knaT<k2>*knaT	*√{#knaT#}

<L>31620<pc>2-110-a<k1>knas<k2>*knas	*√{#knas#}

<L>31626<pc>2-110-a<k1>kmar<k2>*kmar	*√{#kmar#}

<L>31631<pc>2-110-a<k1>kraMS<k2>*kraMS	*√{#kraMS#}

<L>31784<pc>2-114-a<k1>krav<k2>*krav	*√{#krav#}

<L>31939<pc>2-116-a<k1>kruq<k2>*kruq	*√{#kruq#}

<L>31945<pc>2-116-a<k1>krunT<k2>*krunT	*√{#krunT#}

<L>32099<pc>2-118-a<k1>klad<k2>*klad	*√{#klad#}

<L>32103<pc>2-118-a<k1>klap<k2>*klap	*√{#klap#}

<L>32113<pc>2-118-b<k1>klind<k2>*klind	*√{#klind#}

<L>32131<pc>2-118-c<k1>klIb<k2>*klIb	*√{#klIb#}

<L>32138<pc>2-119-a<k1>klIbAy<k2>*klIbAy	*!√{#klIbAy#}

<L>32139<pc>2-119-a<k1>klu<k2>*klu	*√{#klu#}

<L>32147<pc>2-119-a<k1>kleS<k2>*kleS	*√{#kleS#}

<L>32187<pc>2-119-c<k1>kvel<k2>*kvel	*√{#kvel#}

<L>32356<pc>2-122-b<k1>kzamp<k2>*kzamp	*√{#kzamp#}

<L>32483<pc>2-124-b<k1>kziR<k2>*kziR	*√{#kziR#}

<L>32573<pc>2-126-b<k1>kziv<k2>*kziv	*√{#kziv#}

<L>32575<pc>2-126-b<k1>kzIj<k2>*kzIj	*√{#kzIj#}

<L>32682<pc>2-127-c<k1>kzIrasy<k2>*kzIrasy	*!√{#kzIrasy#}

<L>32701<pc>2-127-c<k1>kzIrIy<k2>*kzIrIy	*!√{#kzIrIy#}

<L>32874<pc>2-129-b<k1>kzump<k2>*kzump	*√{#kzump#}

<L>32876<pc>2-129-c<k1>kzur<k2>*kzur	*√{#kzur#}

<L>33067<pc>2-132-a<k1>kzow<k2>*kzow	*√{#kzow#}

<L>33149<pc>2-133-a<k1>kzmIl<k2>*kzmIl	*√{#kzmIl#}

<L>33170<pc>2-133-b<k1>KakK<k2>*KakK	*√{#KakK#}

<L>33213<pc>2-133-c<k1>Kaj<k2>*Kaj	*√{#Kaj#}

<L>33252<pc>2-134-a<k1>Kaww<k2>*Kaww	*√{#Kaww#}

<L>33281<pc>2-134-b<k1>KawvIy<k2>*KawvIy	*!√{#KawvIy#}

<L>33282<pc>2-134-b<k1>Kaq<k2>*Kaq	*√{#Kaq#}

<L>33333<pc>2-135-a<k1>KaRq<k2>*KaRq	*√{#KaRq#}

<L>33472<pc>2-137-a<k1>Kamb<k2>*Kamb	*√{#Kamb#}

<L>33579<pc>2-138-a<k1>Karba<k2>*Karba	*√{#Karba#}

<L>33583<pc>2-138-b<k1>Karv<k2>*Karv	*√{#Karv#}

<L>33594<pc>2-138-b<k1>Kal<k2>*Kal	*√{#Kal#}

<L>33650<pc>2-139-a<k1>Kav<k2>*Kav	*√{#Kav#}

<L>33660<pc>2-139-a<k1>Kaz<k2>*Kaz	*√{#Kaz#}

<L>33812<pc>2-140-c<k1>Kiw<k2>*Kiw	*√{#Kiw#}

<L>33831<pc>2-141-a<k1>Ku<k2>*Ku	*√{#Ku#}

<L>33834<pc>2-141-a<k1>Kuj<k2>*Kuj	*√{#Kuj#}

<L>33836<pc>2-141-a<k1>Kuq<k2>*Kuq	*√{#Kuq#}

<L>33844<pc>2-141-b<k1>KuRq<k2>*KuRq	*√{#KuRq#}

<L>33849<pc>2-141-b<k1>Kur<k2>*Kur	*√{#Kur#}

<L>33882<pc>2-141-c<k1>Kew<k2>*Kew	*√{#Kew#}

<L>33896<pc>2-142-a<k1>Keq<k2>*Keq	*√{#Keq#}

<L>33917<pc>2-142-a<k1>KelAy<k2>*KelAy	*!√{#KelAy#}

<L>33920<pc>2-142-a<k1>Kev<k2>*Kev	*√{#Kev#}

<L>33927<pc>2-142-b<k1>Kow<k2>*Kow	*√{#Kow#}

<L>33931<pc>2-142-b<k1>Koq<k2>*Koq	*√{#Koq#}

<L>33935<pc>2-142-b<k1>Kor<k2>*Kor	*√{#Kor#}

<L>33940<pc>2-142-b<k1>Kol<k2>*Kol	*√{#Kol#}

<L>33996<pc>2-143-c<k1>gagG<k2>*gagG	*√{#gagG#}

<L>34054<pc>2-144-a<k1>gaj<k2>*gaj	*√{#gaj#}

<L>34147<pc>2-145-a<k1>gaYj<k2>*gaYj	*√{#gaYj#}

<L>34153<pc>2-145-a<k1>gaq<k2>*gaq	*√{#gaq#}

<L>34304<pc>2-147-a<k1>gaRq<k2>*gaRq	*√{#gaRq#}

<L>34449<pc>2-149-a<k1>gadgady<k2>*gadgady	*!√{#gadgady#}

<L>34694<pc>2-155-a<k1>gamb<k2>*gamb	*√{#gamb#}

<L>34842<pc>2-157-c<k1>gardaBay<k2>*gardaBay	*!√{#gardaBay#}

<L>34864<pc>2-158-a<k1>garb<k2>*garb	*√{#garb#}

<L>34998<pc>2-159-c<k1>garv<k2>*garv	*√{#garv#}

<L>35059<pc>2-160-c<k1>galB<k2>*galB	*√{#galB#}

<L>35061<pc>2-160-c<k1>galBAy<k2>*galBAy	*!√{#galBAy#}

<L>35075<pc>2-160-c<k1>galh<k2>*galh	*√{#galh#}

<L>35079<pc>2-160-c<k1>gavay<k2>*gavay	*!√{#gavay#}

<L>35150<pc>2-161-c<k1>gahanAy<k2>*gahanAy	*!√{#gahanAy#}

<L>35153<pc>2-161-c<k1>gahay<k2>*gahay	*!√{#gahay#}

<L>35235<pc>2-163-b<k1>gAtray<k2>*gAtray	*!√{#gAtray#}

<L>35262<pc>2-163-c<k1>gAD<k2>*gAD	*√{#gAD#}

<L>35354<pc>2-165-a<k1>gArgIy<k2>*gArgIy	*!√{#gArgIy#}

<L>35397<pc>2-165-c<k1>gAloqay<k2>*gAloqay	*!√{#gAloqay#}

<L>35542<pc>2-167-b<k1>gIHkAmy<k2>*gIHkAmy	*!√{#gIHkAmy#}

<L>35627<pc>2-168-b<k1>guq<k2>*guq	*√{#guq#}

<L>35818<pc>2-171-a<k1>guRq<k2>*guRq	*√{#guRq#}

<L>35852<pc>2-171-b<k1>guD<k2>*guD	*√{#guD#}

<L>35856<pc>2-171-b<k1>gundr<k2>*gundr	*√{#gundr#}

<L>35988<pc>2-173-b<k1>gurd<k2>*gurd	*√{#gurd#}

<L>35990<pc>2-173-b<k1>gurv<k2>*gurv	*√{#gurv#}

<L>36128<pc>2-175-a<k1>gUr<k2>*gUr	*√{#gUr#}

<L>36137<pc>2-175-b<k1>gUrd<k2>*gUrd	*√{#gUrd#}

<L>36273<pc>2-176-c<k1>gfhay<k2>*gfhay	*!√{#gfhay#}

<L>36363<pc>2-177-c<k1>gep<k2>*gep	*√{#gep#}

<L>36368<pc>2-178-a<k1>gev<k2>*gev	*√{#gev#}

<L>36369<pc>2-178-a<k1>gez<k2>*gez	*√{#gez#}

<L>36593<pc>2-180-c<k1>goDAy<k2>*goDAy	*!√{#goDAy#}

<L>36785<pc>2-182-c<k1>gomaty<k2>*gomaty	*!√{#gomaty#}

<L>36792<pc>2-183-a<k1>gomay<k2>*gomay	*!√{#gomay#}

<L>36997<pc>2-185-a<k1>gozw<k2>*gozw	*√{#gozw#}

<L>37496<pc>2-193-a<k1>grAmay<k2>*grAmay	*!√{#grAmay#}

<L>37607<pc>2-194-c<k1>gruc<k2>*gruc	*√{#gruc#}

<L>37622<pc>2-194-c<k1>glas<k2>*glas	*√{#glas#}

<L>37635<pc>2-195-a<k1>gluc<k2>*gluc	*√{#gluc#}

<L>37638<pc>2-195-a<k1>gluYc<k2>*gluYc	*√{#gluYc#}

<L>37639<pc>2-195-a<k1>glep<k2>*glep	*√{#glep#}

<L>37641<pc>2-195-a<k1>glev<k2>*glev	*√{#glev#}

<L>37642<pc>2-195-a<k1>glez<k2>*glez	*√{#glez#}

<L>37722<pc>2-196-c<k1>GaR<k2>*GaR	*√{#GaR#}

<L>37723<pc>2-196-c<k1>GaRw<k2>*GaRw	*√{#GaRw#}

<L>37828<pc>2-198-a<k1>Gamb<k2>*Gamb	*√{#Gamb#}

<L>37840<pc>2-198-b<k1>GarR<k2>*GarR	*√{#GarR#}

<L>37841<pc>2-198-b<k1>Garb<k2>*Garb	*√{#Garb#}

<L>37923<pc>2-199-b<k1>GiR<k2>*GiR	*√{#GiR#}

<L>37926<pc>2-199-b<k1>GuMz<k2>*GuMz	*√{#GuMz#}

<L>37932<pc>2-199-b<k1>Guq<k2>*Guq	*√{#Guq#}

<L>37933<pc>2-199-b<k1>GuR<k2>*GuR	*√{#GuR#}

<L>37943<pc>2-199-c<k1>GuRR<k2>*GuRR	*√{#GuRR#}

<L>37949<pc>2-199-c<k1>Gur<k2>*Gur	*√{#Gur#}

<L>37974<pc>2-200-a<k1>GUr<k2>*GUr	*√{#GUr#}

<L>38162<pc>2-202-b<k1>GraRR<k2>*GraRR	*√{#GraRR#}

<L>38179<pc>2-202-c<k1>Nu<k2>*Nu	*√{#Nu#}

<L>38194<pc>2-203-b<k1>cakk<k2>*cakk	*√{#cakk#}

<L>38395<pc>2-206-a<k1>caG<k2>*caG	*√{#caG#}

<L>38454<pc>2-206-c<k1>caR<k2>*caR	*√{#caR#}

<L>38467<pc>2-206-c<k1>caRq<k2>*caRq	*√{#caRq#}

<L>38710<pc>2-209-c<k1>catury<k2>*catury	*!√{#catury#}

<L>38872<pc>2-211-c<k1>cad<k2>*cad	*√{#cad#}

<L>38885<pc>2-212-a<k1>cand<k2>*cand	*√{#cand#}

<L>39146<pc>2-215-a<k1>cap<k2>*cap	*√{#cap#}

<L>39195<pc>2-215-c<k1>camp<k2>*camp	*√{#camp#}

<L>39223<pc>2-216-a<k1>camb<k2>*camb	*√{#camb#}

<L>39225<pc>2-216-a<k1>cay<k2>*cay	*!√{#cay#}

<L>39286<pc>2-218-b<k1>caramy<k2>*caramy	*!√{#caramy#}

<L>39333<pc>2-219-a<k1>carp<k2>*carp	*√{#carp#}

<L>39336<pc>2-219-a<k1>carb<k2>*carb	*√{#carb#}

<L>39474<pc>2-221-a<k1>caz<k2>*caz	*√{#caz#}

<L>39480<pc>2-221-b<k1>cah<k2>*cah	*√{#cah#}

<L>39836<pc>2-226-b<k1>cikk<k2>*cikk	*√{#cikk#}

<L>39870<pc>2-226-c<k1>ciw<k2>*ciw	*√{#ciw#}

<L>40297<pc>2-232-c<k1>cil<k2>*cil	*√{#cil#}

<L>40306<pc>2-232-c<k1>cill<k2>*cill	*√{#cill#}

<L>40329<pc>2-233-a<k1>cIk<k2>*cIk	*√{#cIk#}

<L>40359<pc>2-233-b<k1>cIb<k2>*cIb	*√{#cIb#}

<L>40360<pc>2-233-b<k1>cIB<k2>*cIB	*√{#cIB#}

<L>40362<pc>2-233-b<k1>cIy<k2>*cIy	*!√{#cIy#}

<L>40390<pc>2-233-c<k1>cIv<k2>*cIv	*√{#cIv#}

<L>40399<pc>2-233-c<k1>cukk<k2>*cukk	*√{#cukk#}

<L>40420<pc>2-234-a<k1>cucy<k2>*cucy	*!√{#cucy#}

<L>40425<pc>2-234-a<k1>cuw<k2>*cuw	*√{#cuw#}

<L>40426<pc>2-234-a<k1>cuww<k2>*cuww	*√{#cuww#}

<L>40427<pc>2-234-a<k1>cuq<k2>*cuq	*√{#cuq#}

<L>40428<pc>2-234-a<k1>cuqq<k2>*cuqq	*√{#cuqq#}

<L>40429<pc>2-234-a<k1>cuR<k2>*cuR	*√{#cuR#}

<L>40430<pc>2-234-a<k1>cuRw<k2>*cuRw	*√{#cuRw#}

<L>40434<pc>2-234-a<k1>cuRW<k2>*cuRW	*√{#cuRW#}

<L>40435<pc>2-234-a<k1>cuRq<k2>*cuRq	*√{#cuRq#}

<L>40437<pc>2-234-b<k1>cut<k2>*cut	*√{#cut#}

<L>40441<pc>2-234-b<k1>cund<k2>*cund	*√{#cund#}

<L>40463<pc>2-234-c<k1>curaRy<k2>*curaRy	*!√{#curaRy#}

