¦  (\u00a6) 135771 := BROKEN BAR
ه  (\u0647)    18 := ARABIC LETTER HEH
و  (\u0648)     8 := ARABIC LETTER WAW
ى  (\u0649)     3 := ARABIC LETTER ALEF MAKSURA
ي  (\u064a)    18 := ARABIC LETTER YEH
َ  (\u064e)     1 := ARABIC FATHA
ُ  (\u064f)     1 := ARABIC DAMMA
ِ  (\u0650)     6 := ARABIC KASRA
ّ  (\u0651)     4 := ARABIC SHADDA
ْ  (\u0652)     8 := ARABIC SUKUN
پ  (\u067e)     1 := ARABIC LETTER PEH
ڭ  (\u06ad)     1 := ARABIC LETTER NG
Ḍ  (\u1e0c)  1232 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)   524 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)    28 := LATIN SMALL LETTER H WITH DOT BELOW
Ṃ  (\u1e42)   743 := LATIN CAPITAL LETTER M WITH DOT BELOW
ṃ  (\u1e43)   548 := LATIN SMALL LETTER M WITH DOT BELOW
Ṅ  (\u1e44)   825 := LATIN CAPITAL LETTER N WITH DOT ABOVE
ṅ  (\u1e45)   640 := LATIN SMALL LETTER N WITH DOT ABOVE
Ṇ  (\u1e46)  2023 := LATIN CAPITAL LETTER N WITH DOT BELOW
ṇ  (\u1e47)  4055 := LATIN SMALL LETTER N WITH DOT BELOW
Ṛ  (\u1e5a)  3828 := LATIN CAPITAL LETTER R WITH DOT BELOW
ṛ  (\u1e5b)  1258 := LATIN SMALL LETTER R WITH DOT BELOW
Ṣ  (\u1e62)  2368 := LATIN CAPITAL LETTER S WITH DOT BELOW
ṣ  (\u1e63)  4699 := LATIN SMALL LETTER S WITH DOT BELOW
Ṭ  (\u1e6c)  1492 := LATIN CAPITAL LETTER T WITH DOT BELOW
ṭ  (\u1e6d)   833 := LATIN SMALL LETTER T WITH DOT BELOW
ἀ  (\u1f00)    11 := GREEK SMALL LETTER ALPHA WITH PSILI
Ἀ  (\u1f08)     1 := GREEK CAPITAL LETTER ALPHA WITH PSILI
Ἂ  (\u1f0a)     1 := GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA
ἐ  (\u1f10)     4 := GREEK SMALL LETTER EPSILON WITH PSILI
Ἑ  (\u1f19)     1 := GREEK CAPITAL LETTER EPSILON WITH DASIA
ἣ  (\u1f23)     1 := GREEK SMALL LETTER ETA WITH DASIA AND VARIA
ἰ  (\u1f30)     2 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)     1 := GREEK SMALL LETTER IOTA WITH DASIA
ὁ  (\u1f41)     1 := GREEK SMALL LETTER OMICRON WITH DASIA
ὅ  (\u1f45)     1 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
ὐ  (\u1f50)     3 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)     1 := GREEK SMALL LETTER UPSILON WITH DASIA
ὖ  (\u1f56)     1 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὥ  (\u1f65)     1 := GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ά  (\u1f71)     1 := GREEK SMALL LETTER ALPHA WITH OXIA
᾽  (\u1fbd)     4 := GREEK KORONIS
ῆ  (\u1fc6)     1 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ῖ  (\u1fd6)     2 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῥ  (\u1fe5)     1 := GREEK SMALL LETTER RHO WITH DASIA
ῦ  (\u1fe6)     2 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)     1 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
–  (\u2013)     2 := EN DASH
—  (\u2014) 143602 := EM DASH
“  (\u201c)     1 := LEFT DOUBLE QUOTATION MARK
„  (\u201e)     1 := DOUBLE LOW-9 QUOTATION MARK
•  (\u2022)  8110 := BULLET
′  (\u2032)     1 := PRIME
⁄  (\u2044)    48 := FRACTION SLASH
⁴  (\u2074)     3 := SUPERSCRIPT FOUR
⁵  (\u2075)     1 := SUPERSCRIPT FIVE
₀  (\u2080)    19 := SUBSCRIPT ZERO
₁  (\u2081)     7 := SUBSCRIPT ONE
₂  (\u2082)    22 := SUBSCRIPT TWO
₃  (\u2083)     7 := SUBSCRIPT THREE
₄  (\u2084)     6 := SUBSCRIPT FOUR
₅  (\u2085)     6 := SUBSCRIPT FIVE
₆  (\u2086)     6 := SUBSCRIPT SIX
₈  (\u2088)     3 := SUBSCRIPT EIGHT
√  (\u221a)  3214 := SQUARE ROOT
⏑  (\u23d1)     1 := METRICAL BREVE
□  (\u25a1)     1 := WHITE SQUARE
☓  (\u2613)     2 := SALTIRE
〉  (\u3009) 126416 := RIGHT ANGLE BRACKET
🗙  (\u1f5d9)     1 := CANCELLATION X
🗲  (\u1f5f2)     1 := LIGHTNING MOOD
